S$Combine,S,C,A,M
a1,,0.259937643,0.564250781,46.91792623
a2,,0.255236396,0.699597596,46.80743522
a3,,0.346068646,0.440416652,46.28399519
a4,,0.264289656,0.389156627,47.41715134
a5,,0.199212073,0.375143676,47.90338948
a6,,0.336724161,0.639814992,46.70474695
a7,,0.429888512,1.180202624,45.47756668
a8,,0.320277886,0.66495393,46.79059169
a9,,0.350687372,0.676179025,46.60872755
a10,,0.504525715,1.180620616,45.09427255
a11,,0.484144203,0.8570687,45.91023558
a12,,0.5855713,0.843557193,45.9233779
a13,,0.552989048,0.871720192,46.01264585
a14,,0.713809013,1.202887564,44.9777065
a15,,0.69791456,1.330549559,45.12960844
a16,,0.77754244,1.460378859,44.59838888
a17,,0.952670659,0.898216987,45.39831773
a18,,0.745314373,0.892479357,45.250156
a19,,0.708199662,0.985065548,45.72514781
a20,,0.780668516,1.29510422,45.08802732
a21,,0.751059771,0.699425826,46.08815417
a22,,0.905482741,1.412366371,44.55283238
a23,,0.963407434,1.35540267,44.41718192
a24,,0.85982753,0.743386013,45.25514101
a25,,0.9486461,1.182895134,44.76452823
a26,,0.928444893,1.026940338,45.13600964
a27,,1.007579273,1.659610454,44.03152087
a28,,0.890509434,0.826783248,44.78386855
a29,,0.824676789,1.686671033,43.83876925
a30,,1.115375261,1.463600463,43.67654666
a31,,0.95363721,1.00003156,45.37027464
a32,,1.121965291,0.865170531,45.18488259
a33,,0.917129118,2.067844862,43.08276486
a34,,1.189697924,1.78864495,43.16829853
a35,,1.005332307,1.301296657,43.94221061
a36,,1.16604588,1.172083933,44.5437163
a37,,1.185000843,1.33444676,44.42575435
a38,,1.290587668,1.716693585,43.21581525
a39,,1.245372118,1.655230582,43.6730539
a40,,1.155492186,1.149504456,44.85673484
a41,,1.219036028,2.79109104,42.15704285
a42,,1.393141049,1.808068675,43.52346072
a43,,1.279034584,1.433543835,44.03978012
a44,,1.282813831,1.723397435,43.73714332
a45,,1.335825313,1.432638379,44.10614033
a46,,1.381418438,1.2718328,44.16426138
a47,,0.331019491,1.105663006,45.8717166
a48,,0.73461853,0.845978109,45.91248108
a49,,0.703142828,1.247962828,44.7450409
a50,,0.959339094,1.572779935,44.61464768
a51,,0.611294489,1.361251221,45.50004526
a52,,1.053996118,1.5143563,44.41430411
a53,,1.008829802,1.703565059,43.97400032
a54,,1.041827565,1.211263184,44.98318025
a55,,1.129815587,0.976292465,45.08975531
a56,,1.299371723,2.396084634,43.2368604
a57,,1.193308772,1.929564574,43.17901564
a58,,1.363885944,1.957310883,43.06127377
a59,,1.14019383,1.428241368,44.87519123
a60,,1.347619368,1.498758013,44.04217903
a61,,1.319868445,1.799761837,43.61603671
a62,,1.220697723,1.627239894,44.66495317
a63,,1.341281773,2.554758202,42.39407838
a64,,1.464474817,2.471511181,42.0507753
a65,,1.34366024,1.985346812,43.21361778
a66,,1.377734118,1.616156844,44.28684419
a68,,1.340306152,1.231930147,44.52566601
a69,,1.42479716,1.713901651,42.98690929
a70,,1.537747814,1.346475206,44.39293348
a71,,1.339146099,1.58873584,44.35163173
a72,,1.647889617,1.555411778,43.08635571
a73,,1.466567513,1.782577046,43.38691776
a74,,1.498456547,2.038675048,42.94987443
a75,,1.774860726,3.149256015,40.29245876
a76,,1.740386083,1.632595381,43.23095529
a77,,1.556921279,1.711740034,43.07818141
a78,,1.603340116,2.041957534,42.78421837
a79,,1.569181204,2.109188547,41.90101108
a80,,1.565956411,1.292331489,43.69593724
a81,,1.593056628,1.710303092,43.43809369
a82,,1.518042459,1.927819963,43.15117533
a83,,1.762685469,1.689681311,42.3925882
a84,,1.77663929,1.831990514,42.77734452
a85,,1.801068326,2.201491204,42.61565492
a86,,2.148653936,1.62055879,41.77947
a87,,1.750993016,2.101238398,42.50815473
a88,,1.573781678,2.176782291,43.27689805
a89,,1.903613672,2.114345246,42.38247287
a90,,1.80017467,1.456489387,43.76331328
a91,,2.024894779,2.816395584,42.13314494
a92,,1.999813216,1.767282267,42.91868499
a93,,1.988897302,2.37036558,42.35519872
a94,,2.09238649,2.300820207,42.04153221
a95,,2.135810992,2.215726651,42.2322
a96,,2.42844764,3.620929742,39.70585289
a97,,2.084045597,3.210397663,40.06832536
a98,,2.300272371,2.376968548,41.66714734
a99,,2.367595558,2.538968884,41.43674789
a100,,2.237837082,2.313187836,42.45838481
a101,,2.398451956,1.961371025,41.85141535
a102,,2.354624844,2.32104927,42.2180279
a103,,2.508486333,2.517694406,41.55627255
a104,,2.738308698,2.275372534,40.76369166
a105,,2.630137272,2.382536296,41.06745718
a106,,2.756074526,3.293610324,40.53407828
a107,,1.400221345,1.574308519,43.08232108
a108,,1.501042627,1.580017585,43.44462833
a109,,1.830213522,2.58235011,42.04854437
a110,,1.571784615,1.314419358,43.79481537
a111,,1.751008546,1.936830732,42.42514974
a112,,1.739932968,1.673557237,43.43234745
a113,,1.824343154,2.336034026,42.93625602
a114,,1.736773446,1.302362438,44.64529028
a115,,1.797199387,1.865833679,43.11663425
a116,,1.793642576,1.953832169,42.51859689
a117,,1.860999798,2.115252221,41.73890339
a118,,1.758910194,1.864644235,43.22996423
a119,,1.882989857,2.092691257,42.63170167
a120,,1.992939786,1.636428753,43.5324701
a121,,2.189195791,2.443003234,41.8400222
a122,,2.49304792,2.385600081,41.9254012
bb1,,0.457,0.85,46.437
bb2,,0.496,0.756,46.077
bb3,,0.536,0.653,46.552
bb4,,0.459,0.73,46.492
bb5,,0.55,0.734,46.197
bb6,,0.624,0.944,45.586
bb7,,0.556,0.681,46.366
bb8,,0.545,0.639,46.731
bb9,,0.599,0.568,46.897
bb10,,0.816,1.033,45.302
bb11,,0.878,0.912,45.485
bb12,,0.869,0.932,45.839
bb13,,1.041,0.988,45.268
bb14,,0.982,1.065,45.286
bb15,,1.002,1.113,45.115
bb16,,1.093,1.099,44.816
bb17,,1.198,1.697,43.588
bb18,,1.161,1.312,44.415
bb19,,1.229,1.305,44.121
bb20,,1.131,1.5,44.678
bb21,,1.239,1.411,44.346
bb22,,1.113,2.19,43.742
bb23,,1.279,1.276,44.358
bb24,,1.377,1.615,43.549
bb25,,1.424,1.576,43.641
bb26,,1.424,1.706,44.114
bb27,,1.43,1.693,43.391
bb28,,1.434,1.481,44.215
bb29,,1.523,1.927,42.858
bb30,,1.274,1.842,43.913
bb31,,1.513,1.352,44.246
bb33,,1.508,1.663,43.521
bb34,,1.564,1.683,43.2
bb35,,1.521,2.126,43.349
bb36,,1.762,2.133,42.213
bb37,,1.714,1.931,42.257
bb38,,1.646,2.074,42.833
bb39,,1.947,2.231,42.16
bb40,,1.948,2.092,42.955
bb41,,2.085,1.915,42.518
bb42,,2.142,2.36,41.8
bb43,,2.355,2.684,41.476
bb44,,2.67,3.026,40.589
