Rock Type,TiO2,Al2O3,FeO,MnO,CaO
ECLOGITE,0.08,23.21,11.19,0.41,9.0
ECLOGITE,0.07,23.21,11.28,0.43,9.12
ECLOGITE,54.22,0.46,30.76,0.39,0.04
ECLOGITE,0.06,0.7,8.8,0.09,0.28
ECLOGITE,0.1,0.7,8.25,0.1,0.3
ECLOGITE,0.13,23.64,12.82,0.39,3.84
ECLOGITE,0.07,0.72,7.57,0.11,0.28
ECLOGITE,0.11,1.55,2.33,0.06,22.68
ECLOGITE,0.46,10.41,3.4,0.03,15.6
ECLOGITE,0.06,23.19,12.84,0.41,6.2
ECLOGITE,0.06,0.58,12.06,0.2,0.33
ECLOGITE,0.1,1.66,4.21,0.11,21.56
ECLOGITE,0.07,22.12,16.48,0.68,4.91
ECLOGITE,0.28,3.39,2.65,0.07,20.91
ECLOGITE,55.81,0.35,28.67,0.4,0.02
ECLOGITE,0.09,22.66,11.03,0.2,19.56
ECLOGITE,0.01,62.1,0.14,0.02,0.07
ECLOGITE,0.12,24.52,7.84,0.39,4.14
ECLOGITE,0.28,3.23,1.59,0.03,21.37
ECLOGITE,0.04,0.72,9.33,0.07,0.32
ECLOGITE,0.08,23.45,13.23,0.33,3.71
ECLOGITE,0.24,5.3,3.36,0.05,17.81
ECLOGITE,0.11,22.71,14.95,0.28,13.08
ECLOGITE,0.25,22.59,14.76,0.27,12.72
ECLOGITE,0.1,23.7,8.85,0.36,4.47
ECLOGITE,94.83,0.08,3.02,0.01,0.05
ECLOGITE,0.31,5.26,3.3,0.02,18.32
ECLOGITE,55.54,0.28,31.13,0.35,0.03
ECLOGITE,0.28,14.55,2.77,0.02,14.28
ECLOGITE,0.23,13.27,2.38,0.02,14.52
ECLOGITE,0.04,0.79,8.97,0.08,0.31
PERIDOTITE,0.2,1.7,2.5,0.06,20.8
PERIDOTITE,0.28,0.6,2.2,0.05,23.4
ECLOGITE,0.46,14.0,10.4,0.11,0.97
PYROXENITE,0.12,8.2,9.3,0.14,0.78
ECLOGITE,0.19,7.5,6.1,0.12,19.0
ECLOGITE,0.14,23.5,12.7,0.29,7.1
ECLOGITE,0.07,22.4,18.6,0.45,11.1
ECLOGITE,0.38,5.6,5.2,0.02,20.9
ECLOGITE,0.37,12.9,5.9,0.03,11.6
PYROXENITE,0.08,2.3,3.3,0.08,24.0
PYROXENITE,0.02,23.5,14.4,0.26,6.4
PYROXENITE,54.94,0.3,32.87,0.75,0.21
PERIDOTITE,53.77,0.83,27.81,0.5,0.19
PYROXENITE,56.87,0.6,31.36,0.58,0.1
PERIDOTITE,2.34,8.69,15.09,0.35,0.09
PERIDOTITE,0.21,34.09,9.58,0.15,0.05
PERIDOTITE,2.64,13.65,13.49,0.33,0.05
PERIDOTITE,2.65,11.87,14.06,0.34,0.09
PERIDOTITE,0.96,21.6,4.44,0.09,10.8
PERIDOTITE,0.28,3.35,2.86,0.09,23.4
PERIDOTITE,0.26,45.4,12.7,0.03,0.17
PERIDOTITE,0.69,7.7,3.17,0.06,20.7
PERIDOTITE,1.41,22.4,3.69,0.08,9.84
PERIDOTITE,0.29,50.0,10.4,0.03,0.13
PERIDOTITE,1.21,8.65,3.03,0.08,21.3
PYROXENITE,0.14,2.95,4.2,0.08,23.2
PYROXENITE,0.87,25.0,6.79,0.12,6.12
PYROXENITE,0.25,58.1,13.1,0.06,0.27
PYROXENITE,1.23,8.74,3.95,0.02,23.0
PERIDOTITE,0.65,13.6,3.94,0.08,11.4
PERIDOTITE,0.89,25.2,3.45,0.08,6.7
PERIDOTITE,0.18,3.67,3.15,0.12,21.9
PERIDOTITE,0.47,6.73,2.66,0.08,22.7
PERIDOTITE,1.73,14.0,5.65,0.06,11.7
PERIDOTITE,2.1,19.5,4.8,0.08,8.81
PERIDOTITE,0.44,3.98,3.78,0.1,22.5
PERIDOTITE,2.08,8.87,3.66,0.07,22.0
PERIDOTITE,1.78,19.7,3.37,0.09,6.72
PERIDOTITE,0.71,4.87,4.08,0.06,19.8
PERIDOTITE,0.62,44.2,14.1,0.02,0.08
PERIDOTITE,0.91,5.9,3.17,0.09,20.2
PERIDOTITE,0.14,5.15,6.76,0.16,1.05
PERIDOTITE,0.56,7.7,3.56,0.11,18.77
PERIDOTITE,0.39,6.43,4.13,0.09,19.97
PERIDOTITE,4.27,14.6,8.4,0.11,11.2
PERIDOTITE,3.45,15.0,8.2,0.1,11.4
PERIDOTITE,0.7,4.7,6.8,0.18,20.0
PERIDOTITE,0.83,5.2,6.9,0.18,19.8
PERIDOTITE,0.92,5.4,6.8,0.21,20.8
PERIDOTITE,0.86,5.5,7.2,0.17,19.5
PERIDOTITE,1.11,6.2,7.1,0.19,19.6
PERIDOTITE,4.76,14.32,0.02,0.08,11.26
PERIDOTITE,1.05,7.58,4.52,0.22,18.52
PERIDOTITE,3.6,16.54,1.21,0.11,11.63
PERIDOTITE,0.43,6.73,8.23,0.19,3.8
PERIDOTITE,0.01,0.89,4.92,0.09,0.39
PERIDOTITE,0.01,1.09,2.11,0.05,20.61
PERIDOTITE,0.05,20.35,7.44,0.38,6.05
PERIDOTITE,0.01,0.01,8.01,0.09,0.05
PERIDOTITE,0.05,1.21,4.95,0.12,0.71
PERIDOTITE,0.08,1.78,2.38,0.09,20.11
PERIDOTITE,0.11,19.54,6.57,0.38,6.16
PERIDOTITE,0.04,0.88,4.93,0.1,0.36
PERIDOTITE,0.08,1.09,2.18,0.05,20.52
PERIDOTITE,0.07,20.69,7.16,0.4,5.65
PERIDOTITE,0.02,0.95,4.97,0.12,0.37
PERIDOTITE,0.24,13.82,20.81,0.58,0.02
PERIDOTITE,0.05,2.14,2.33,0.09,20.68
PERIDOTITE,0.04,21.97,8.12,0.48,5.53
PERIDOTITE,0.03,0.95,4.96,0.11,0.36
PERIDOTITE,0.58,13.37,20.41,0.61,0.01
PERIDOTITE,0.07,2.31,2.24,0.09,20.61
PERIDOTITE,0.05,20.85,7.34,0.45,5.72
PERIDOTITE,0.03,0.03,11.1,0.11,0.09
PERIDOTITE,0.34,1.72,6.8,0.11,1.15
PERIDOTITE,0.76,20.93,8.14,0.32,5.58
PERIDOTITE,0.57,3.1,4.0,0.08,18.36
PERIDOTITE,0.01,0.01,8.0,0.1,0.04
PERIDOTITE,0.07,1.14,4.94,0.11,0.6
PERIDOTITE,0.1,1.9,2.3,0.1,20.41
PERIDOTITE,1.03,12.48,18.52,0.49,0.01
PERIDOTITE,0.15,19.39,6.88,0.41,6.18
PERIDOTITE,0.03,1.05,4.88,0.11,0.4
PERIDOTITE,0.57,13.34,20.48,0.51,0.01
PERIDOTITE,0.07,2.19,2.19,0.09,20.45
PERIDOTITE,0.08,20.7,7.35,0.43,5.67
PERIDOTITE,0.01,0.95,5.08,0.11,0.34
PERIDOTITE,0.29,13.32,21.28,0.59,0.01
PERIDOTITE,0.03,2.23,2.32,0.09,20.69
PERIDOTITE,0.04,20.88,7.67,0.47,5.88
PERIDOTITE,0.01,0.88,4.92,0.1,0.37
PERIDOTITE,0.01,1.91,2.13,0.08,21.01
PERIDOTITE,0.03,20.53,7.37,0.42,5.83
PERIDOTITE,0.01,0.03,8.59,0.1,0.09
PERIDOTITE,0.18,1.77,5.27,0.12,1.25
PERIDOTITE,0.62,19.52,6.45,0.31,6.11
PERIDOTITE,0.27,2.53,3.15,0.1,17.93
PERIDOTITE,0.02,0.01,8.49,0.09,0.04
PERIDOTITE,0.2,1.21,5.21,0.1,0.55
PERIDOTITE,0.37,19.53,7.29,0.37,5.98
PERIDOTITE,0.38,2.31,2.57,0.09,19.5
PERIDOTITE,0.02,0.03,8.77,0.1,0.09
PERIDOTITE,0.29,1.82,5.39,0.12,1.22
PERIDOTITE,0.84,16.7,6.69,0.36,6.94
PERIDOTITE,0.52,2.71,3.18,0.11,17.25
PERIDOTITE,0.02,0.96,5.1,0.11,0.42
PERIDOTITE,0.05,2.19,2.31,0.07,20.4
PERIDOTITE,0.03,21.75,7.5,0.39,5.29
PERIDOTITE,0.01,0.91,5.24,0.11,0.36
PERIDOTITE,0.02,1.92,2.36,0.08,21.12
PERIDOTITE,0.02,21.48,7.76,0.41,5.37
PERIDOTITE,0.02,0.01,7.67,0.09,0.04
PERIDOTITE,0.19,1.11,4.71,0.1,0.54
PERIDOTITE,0.2,1.24,4.8,0.11,0.62
PERIDOTITE,0.38,19.85,6.66,0.37,5.69
PERIDOTITE,0.31,20.0,6.66,0.38,5.54
PERIDOTITE,0.01,0.98,5.04,0.11,0.32
PERIDOTITE,0.02,1.77,2.2,0.07,21.6
PERIDOTITE,0.02,20.65,7.75,0.45,6.29
PERIDOTITE,0.02,20.84,7.69,0.46,6.24
PERIDOTITE,0.03,0.03,7.98,0.1,0.08
PERIDOTITE,0.33,1.81,4.85,0.1,1.12
PERIDOTITE,0.34,1.88,4.84,0.11,1.17
PERIDOTITE,0.67,19.17,6.13,0.35,5.99
PERIDOTITE,0.9,19.45,6.08,0.29,6.06
PERIDOTITE,0.68,2.93,2.77,0.09,18.1
PERIDOTITE,0.03,0.04,10.67,0.1,0.09
PERIDOTITE,0.29,1.95,6.52,0.12,1.28
PERIDOTITE,0.29,2.02,6.43,0.13,1.36
PERIDOTITE,0.73,21.38,7.85,0.32,5.4
PERIDOTITE,0.32,21.56,7.49,0.37,5.0
PERIDOTITE,0.53,3.1,4.01,0.1,17.63
PERIDOTITE,0.02,0.04,9.01,0.12,0.09
PERIDOTITE,0.24,1.86,5.49,0.13,1.32
PERIDOTITE,0.65,18.45,6.56,0.36,6.58
PERIDOTITE,0.41,2.49,3.27,0.11,17.86
PERIDOTITE,0.03,0.04,8.89,0.11,0.09
PERIDOTITE,0.2,1.89,5.45,0.13,1.29
PERIDOTITE,0.44,17.83,6.48,0.34,6.51
PERIDOTITE,0.4,2.65,3.27,0.12,17.33
PERIDOTITE,0.01,0.82,5.21,0.11,0.4
PERIDOTITE,0.02,1.97,2.33,0.08,21.25
PERIDOTITE,0.01,21.44,7.74,0.41,5.5
PERIDOTITE,0.02,21.78,7.79,0.4,5.46
