ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO
PERIDOTITE,46.16,-107.37,40.5,38.9
PERIDOTITE,47.6372,-110.221,35.4,23.0
PERIDOTITE,47.8336,-109.21600000000001,38.0,21.9
PERIDOTITE,47.9353,-108.92,34.8,26.8
PERIDOTITE,46.6722,-106.90899999999999,21.9,19.6
PERIDOTITE,47.4333,-110.53299999999999,33.66,22.74
PERIDOTITE,47.6894,-109.288,36.0,26.18
PERIDOTITE,47.6825,-108.975,35.47,20.39
PERIDOTITE,47.6825,-108.975,35.32,19.41
PERIDOTITE,47.6375,-110.22200000000001,34.86,23.88
PERIDOTITE,47.6375,-110.22200000000001,34.33,22.26
PERIDOTITE,47.8428,-109.176,35.76,15.29
PERIDOTITE,46.4264,-107.29899999999999,13.07,14.87
PERIDOTITE,46.4267,-107.29799999999999,27.08,20.33
PERIDOTITE,46.675,-106.914,20.6,18.52
LHERZOLITE,49.0,-121.0,59.1,2.95
LHERZOLITE,49.0,-121.0,58.8,3.26
LHERZOLITE,49.0,-121.0,62.6,0.99
DUNITE,66.0,-24.0,39.72,47.05
LHERZOLITE,-2.0,136.0,39.55,42.14
LHERZOLITE,-2.0,136.0,39.95,35.85
DUNITE,3.0,-78.32,41.87,34.65
LHERZOLITE,42.0,143.0,44.94,38.81
DUNITE,49.0,-79.37,41.2,49.7
WEHRLITE,49.0,-79.37,43.2,45.1
WEHRLITE,49.0,-79.37,43.4,41.5
WEHRLITE,49.0,-79.37,42.8,40.8
WEHRLITE,49.0,-79.37,44.6,30.3
DUNITE,49.0,-79.37,42.1,50.4
DUNITE,49.0,-79.37,41.6,50.0
WEHRLITE,49.0,-79.37,44.9,38.9
WEHRLITE,49.0,-79.37,44.6,40.4
WEHRLITE,49.0,-79.37,42.5,38.4
DUNITE,48.2,-80.1,37.9,37.78
HARZBURGITE,42.0,143.0,42.92,45.65
HARZBURGITE,42.0,143.0,43.65,46.21
LHERZOLITE,42.0,143.0,44.34,42.65
HARZBURGITE,42.0,143.0,44.09,45.72
LHERZOLITE,42.0,143.0,44.26,44.43
LHERZOLITE,42.0,143.0,43.82,42.56
LHERZOLITE,42.0,143.0,44.42,42.24
LHERZOLITE,42.0,143.0,44.64,41.97
LHERZOLITE,42.0,143.0,43.93,42.01
LHERZOLITE,42.0,143.0,44.43,41.6
HARZBURGITE,42.0,143.0,43.54,46.54
HARZBURGITE,42.0,143.0,43.95,45.9
LHERZOLITE,42.0,143.0,45.22,40.39
LHERZOLITE,42.0,143.0,45.54,39.43
LHERZOLITE,42.0,143.0,45.63,38.7
LHERZOLITE,42.0,143.0,44.99,40.06
LHERZOLITE,42.0,143.0,45.08,40.18
LHERZOLITE,42.0,143.0,44.88,39.58
LHERZOLITE,42.0,143.0,45.67,38.96
LHERZOLITE,42.0,143.0,44.19,43.37
LHERZOLITE,42.0,143.0,44.61,43.12
LHERZOLITE,42.0,143.0,44.48,42.53
LHERZOLITE,42.0,143.0,44.64,42.91
LHERZOLITE,42.0,143.0,44.97,43.03
LHERZOLITE,42.0,143.0,45.49,39.31
LHERZOLITE,42.0,143.0,44.1,41.12
LHERZOLITE,42.0,143.0,44.73,41.11
LHERZOLITE,42.0,143.0,44.54,40.94
LHERZOLITE,42.0,143.0,44.63,40.74
PERIDOTITE,63.6,34.8,43.8,34.8
PERIDOTITE,63.6,34.8,44.3,37.1
PERIDOTITE,63.6,34.8,43.8,36.1
PERIDOTITE,63.6,34.8,39.9,46.5
DUNITE,63.6,34.8,45.2,34.4
PERIDOTITE,49.2,-94.6,45.5,16.4
HARZBURGITE,42.0,143.0,43.95,44.51
HARZBURGITE,42.0,143.0,43.74,46.14
LHERZOLITE,42.0,143.0,44.3,41.8
LHERZOLITE,42.0,143.0,44.02,42.56
LHERZOLITE,42.0,143.0,44.95,37.1
LHERZOLITE,42.0,143.0,44.82,38.77
LHERZOLITE,42.0,143.0,45.15,37.55
LHERZOLITE,42.0,143.0,44.41,39.1
PERIDOTITE,42.0,143.0,42.03,34.33
PERIDOTITE,42.0,143.0,40.74,36.77
PERIDOTITE,-17.7,127.7,40.95,31.16
PERIDOTITE,-17.7,127.7,40.9,30.9
PERIDOTITE,-17.7,127.7,34.73,34.83
PERIDOTITE,-17.7,127.7,36.26,33.46
HARZBURGITE,-18.4,127.4,39.53,33.23
HARZBURGITE,-18.4,127.4,36.59,35.81
HARZBURGITE,-20.7,116.75,36.57,29.23
PERIDOTITE,-31.0,122.0,46.2,33.3
PERIDOTITE,-31.0,122.0,48.4,24.9
PERIDOTITE,-31.0,122.0,47.4,24.8
PERIDOTITE,-31.0,122.0,47.1,33.8
HARZBURGITE,-26.1,30.5,42.59,32.12
PERIDOTITE,-31.0,122.0,44.02,23.02
PERIDOTITE,-31.0,122.0,44.28,24.17
PERIDOTITE,-31.0,122.0,43.55,28.22
PERIDOTITE,-31.0,122.0,40.39,33.07
PERIDOTITE,-31.0,122.0,41.45,29.36
DUNITE,48.2,-80.0,37.72,32.46
WEHRLITE,-25.945,30.7283,40.41,31.87
WEHRLITE,-26.0,30.5,38.76,30.07
WEHRLITE,-26.0,30.5,43.37,23.52
PERIDOTITE,58.08,-73.0,41.36,34.17
PERIDOTITE,58.08,-73.0,39.82,32.15
PERIDOTITE,58.08,-73.0,42.36,39.14
PERIDOTITE,58.08,-73.0,41.73,39.53
DUNITE,57.03,120.72,41.4,46.7
DUNITE,57.03,120.72,41.5,46.3
DUNITE,57.03,120.72,41.8,47.2
PERIDOTITE,57.03,120.72,41.1,47.1
PERIDOTITE,57.03,120.72,41.2,46.4
PERIDOTITE,57.03,120.72,41.7,46.3
PERIDOTITE,57.03,120.72,40.9,47.0
PERIDOTITE,57.03,120.72,41.5,47.0
PERIDOTITE,57.03,120.72,41.4,46.4
PERIDOTITE,57.03,120.72,42.8,44.0
PERIDOTITE,57.03,120.72,41.7,46.1
DUNITE,57.03,120.72,42.0,47.8
PERIDOTITE,57.03,120.72,42.0,45.4
DUNITE,57.03,120.72,42.0,47.6
DUNITE,57.03,120.72,42.6,45.7
DUNITE,57.03,120.72,41.1,48.0
DUNITE,57.03,120.72,40.5,48.5
DUNITE,57.03,120.72,40.1,50.4
HARZBURGITE,42.0,143.0,42.96,46.19
HARZBURGITE,42.0,143.0,43.36,47.08
LHERZOLITE,42.0,143.0,43.43,42.49
LHERZOLITE,42.0,143.0,43.65,42.45
LHERZOLITE,42.0,143.0,43.63,43.02
LHERZOLITE,42.0,143.0,43.82,38.8
LHERZOLITE,42.0,143.0,44.56,38.66
DUNITE,42.0,143.0,41.77,37.2
DUNITE,42.0,143.0,45.77,17.7
DUNITE,42.0,143.0,42.55,29.3
DUNITE,42.0,143.0,46.05,16.6
NOT-GIVEN,42.0,143.0,41.44,9.13
NOT-GIVEN,42.0,143.0,48.45,7.57
NOT-GIVEN,42.0,143.0,44.95,8.35
DUNITE,-25.95,30.57,26.6,30.63
DUNITE,64.9667,-49.9944,40.76,42.68
PERIDOTITE,-25.48,31.52,42.03,32.66
DUNITE,-25.5,31.3,38.5,39.13
DUNITE,-26.0,27.78,40.06,38.15
HARZBURGITE,-26.0,27.78,40.0,37.52
DUNITE,34.5,136.8,36.59,39.89
PERIDOTITE,34.5,136.8,38.75,39.04
PERIDOTITE,34.5,136.8,41.13,30.22
PERIDOTITE,34.5,136.8,43.67,21.56
HARZBURGITE,-21.72,150.3,38.59,40.2
HARZBURGITE,-22.9272,149.953,40.78,42.04
HARZBURGITE,-22.9273,149.954,40.82,41.16
HARZBURGITE,-22.9555,149.901,43.16,33.67
DUNITE,35.3,135.3,34.04,40.5
HARZBURGITE,35.3,135.3,37.22,40.12
HARZBURGITE,35.3,135.3,41.49,43.38
HARZBURGITE,35.3,135.3,38.87,40.03
HARZBURGITE,35.3,135.3,41.07,41.43
HARZBURGITE,45.78,3.08,43.21,43.08
DUNITE,45.78,3.08,39.69,44.39
DUNITE,-18.8051,48.3225,39.18,39.22
DUNITE,-18.8079,48.3352,39.53,38.87
DUNITE,-18.8079,48.3352,37.56,39.09
DUNITE,-18.85,48.32,40.12,38.39
DUNITE,-18.8079,48.3352,37.43,38.37
DUNITE,-18.8079,48.3352,39.94,37.68
WEHRLITE,-18.85,48.32,39.92,36.48
WEHRLITE,-18.8079,48.3352,40.89,34.0
WEHRLITE,-18.8079,48.3352,40.63,33.21
WEHRLITE,-18.83,48.33,42.5,33.44
WEHRLITE,-18.8079,48.3352,42.89,31.74
WEHRLITE,-18.8062,48.3373,41.95,32.57
WEHRLITE,-18.8062,48.3373,42.5,32.47
WEHRLITE,-18.83,48.33,44.17,31.02
WEHRLITE,-18.8051,48.3225,44.52,29.72
DUNITE,-41.5,145.5,46.3,46.09
DUNITE,-41.5,145.5,39.56,44.82
DUNITE,-41.5,145.5,36.65,38.46
PERIDOTITE,60.8,-71.0,40.33,36.28
PERIDOTITE,60.8,-71.0,37.16,35.45
DUNITE,3.0,-78.32,41.7,34.2
WEHRLITE,3.0,-78.32,43.25,27.6
DUNITE,3.0,-78.32,42.85,31.5
PERIDOTITE,69.48,30.75,36.74,28.86
PERIDOTITE,-26.6,118.5,54.49,16.42
DUNITE,48.6,-80.5,44.1,37.0
DUNITE,48.6,-80.5,45.1,35.7
DUNITE,48.6,-80.5,45.4,36.3
DUNITE,48.6,-80.5,45.7,35.9
DUNITE,48.6,-80.5,43.1,36.8
PERIDOTITE,48.6,-80.5,44.3,30.5
DUNITE,7.95,-11.19,36.3,45.7
DUNITE,65.0,176.0,34.32,41.8
DUNITE,65.0,176.0,38.98,42.89
HARZBURGITE,65.0,176.0,40.46,38.94
HARZBURGITE,65.0,176.0,40.89,38.42
HARZBURGITE,65.0,176.0,40.07,37.72
DUNITE,38.79,15.21,40.4,47.82
WEHRLITE,38.79,15.21,44.85,28.61
HARZBURGITE,17.7,147.5,46.6,24.68
HARZBURGITE,12.1,143.9,42.64,36.84
PERIDOTITE,35.1,138.3,40.63,36.09
PERIDOTITE,35.1,138.3,38.7,32.88
PERIDOTITE,35.1,138.3,39.71,35.19
WEHRLITE,2.5,-76.4,42.12,27.49
WEHRLITE,2.5,-76.4,39.96,30.92
WEHRLITE,2.5,-76.4,40.57,29.66
PERIDOTITE,48.2,-80.1,36.88,35.5
PERIDOTITE,48.2,-80.1,43.25,26.7
PERIDOTITE,48.2,-80.1,37.9,35.0
PERIDOTITE,48.2,-80.1,36.2,33.5
PERIDOTITE,48.2,-80.1,34.5,34.5
PERIDOTITE,48.2,-80.1,35.5,35.8
HARZBURGITE,-46.65,-75.45,38.5,36.4
HARZBURGITE,-46.65,-75.45,38.0,37.85
HARZBURGITE,56.6108,-102.82600000000001,41.95,34.25
DUNITE,70.0,100.0,39.69,45.33
PERIDOTITE,53.0,-121.5,43.54,29.39
HARZBURGITE,54.82,-125.17,55.23,35.67
HARZBURGITE,54.82,-125.17,44.69,45.23
HARZBURGITE,54.82,-125.17,44.31,45.81
HARZBURGITE,54.82,-125.17,43.89,45.71
LHERZOLITE,54.4,-124.0,46.23,33.15
PERIDOTITE,38.2,141.0,40.47,9.37
DUNITE,61.56,-73.47,38.2,29.77
DUNITE,61.5,-73.7,38.85,26.66
DUNITE,61.5,-73.7,38.29,27.46
DUNITE,61.5,-73.7,38.0,26.62
DUNITE,61.5,-73.7,39.69,26.48
PERIDOTITE,61.5,-73.7,38.79,26.24
PERIDOTITE,61.5,-73.7,39.36,24.21
PERIDOTITE,61.5,-73.7,39.1,23.92
PERIDOTITE,61.5,-73.7,40.83,23.97
PERIDOTITE,61.5,-73.7,36.86,17.39
PERIDOTITE,61.5,-73.7,42.27,24.56
PERIDOTITE,61.5,-73.7,38.37,23.87
PERIDOTITE,61.5,-73.7,42.63,22.06
PERIDOTITE,61.5,-73.7,40.65,21.45
PERIDOTITE,61.5,-73.7,42.12,22.81
PERIDOTITE,66.78,32.0,43.87,32.52
HARZBURGITE,20.59,-74.78,38.55,38.01
HARZBURGITE,20.59,-74.78,39.23,36.81
HARZBURGITE,20.59,-74.78,41.89,37.63
HARZBURGITE,20.59,-74.78,36.66,38.26
HARZBURGITE,20.59,-74.78,38.02,35.47
