ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO,CAO,MNO
LHERZOLITE,49.0,-121.0,59.1,2.95,5.98,0.04
LHERZOLITE,49.0,-121.0,58.8,3.26,6.42,0.06
LHERZOLITE,49.0,-121.0,62.6,0.99,1.86,0.01
DUNITE,66.0,-24.0,39.72,47.05,0.37,0.18
LHERZOLITE,-2.0,136.0,39.55,42.14,1.95,0.18
LHERZOLITE,-2.0,136.0,39.95,35.85,4.62,0.18
DUNITE,3.0,-78.32,41.87,34.65,5.42,0.18
LHERZOLITE,42.0,143.0,44.94,38.81,2.97,0.15
DUNITE,49.0,-79.37,41.2,49.7,0.26,0.11
WEHRLITE,49.0,-79.37,43.2,45.1,0.04,0.14
WEHRLITE,49.0,-79.37,43.4,41.5,0.36,0.15
WEHRLITE,49.0,-79.37,42.8,40.8,1.17,0.16
WEHRLITE,49.0,-79.37,44.6,30.3,6.77,0.15
DUNITE,49.0,-79.37,42.1,50.4,0.02,0.1
DUNITE,49.0,-79.37,41.6,50.0,0.09,0.09
WEHRLITE,49.0,-79.37,44.9,38.9,1.11,0.14
WEHRLITE,49.0,-79.37,44.6,40.4,0.37,0.15
WEHRLITE,49.0,-79.37,42.5,38.4,5.94,0.18
DUNITE,48.2,-80.1,37.9,37.78,0.05,0.15
HARZBURGITE,42.0,143.0,42.92,45.65,0.8,0.12
HARZBURGITE,42.0,143.0,43.65,46.21,0.41,0.131
LHERZOLITE,42.0,143.0,44.34,42.65,1.99,0.13699999999999998
HARZBURGITE,42.0,143.0,44.09,45.72,0.61,0.132
LHERZOLITE,42.0,143.0,44.26,44.43,1.24,0.13
LHERZOLITE,42.0,143.0,43.82,42.56,1.98,0.13
LHERZOLITE,42.0,143.0,44.42,42.24,1.98,0.135
LHERZOLITE,42.0,143.0,44.64,41.97,2.26,0.135
LHERZOLITE,42.0,143.0,43.93,42.01,2.26,0.13
LHERZOLITE,42.0,143.0,44.43,41.6,2.27,0.138
HARZBURGITE,42.0,143.0,43.54,46.54,0.44,0.13
HARZBURGITE,42.0,143.0,43.95,45.9,0.82,0.128
LHERZOLITE,42.0,143.0,45.22,40.39,2.57,0.14
LHERZOLITE,42.0,143.0,45.54,39.43,2.85,0.14
LHERZOLITE,42.0,143.0,45.63,38.7,3.07,0.142
LHERZOLITE,42.0,143.0,44.99,40.06,2.94,0.13699999999999998
LHERZOLITE,42.0,143.0,45.08,40.18,2.82,0.141
LHERZOLITE,42.0,143.0,44.88,39.58,2.99,0.142
LHERZOLITE,42.0,143.0,45.67,38.96,3.11,0.138
LHERZOLITE,42.0,143.0,44.19,43.37,1.41,0.12
LHERZOLITE,42.0,143.0,44.61,43.12,1.41,0.129
LHERZOLITE,42.0,143.0,44.48,42.53,1.84,0.135
LHERZOLITE,42.0,143.0,44.64,42.91,1.76,0.132
LHERZOLITE,42.0,143.0,44.97,43.03,1.67,0.132
LHERZOLITE,42.0,143.0,45.49,39.31,2.74,0.13699999999999998
LHERZOLITE,42.0,143.0,44.1,41.12,2.62,0.13
LHERZOLITE,42.0,143.0,44.73,41.11,2.64,0.14
LHERZOLITE,42.0,143.0,44.54,40.94,2.63,0.14
LHERZOLITE,42.0,143.0,44.63,40.74,2.77,0.141
DUNITE,63.6,34.8,45.2,34.4,3.72,0.18
HARZBURGITE,42.0,143.0,43.95,44.51,0.8,0.132
HARZBURGITE,42.0,143.0,43.74,46.14,0.96,0.13
LHERZOLITE,42.0,143.0,44.3,41.8,1.95,0.132
LHERZOLITE,42.0,143.0,44.02,42.56,2.3,0.13
LHERZOLITE,42.0,143.0,44.95,37.1,3.59,0.145
LHERZOLITE,42.0,143.0,44.82,38.77,3.91,0.14
LHERZOLITE,42.0,143.0,45.15,37.55,3.18,0.14
LHERZOLITE,42.0,143.0,44.41,39.1,3.34,0.14
HARZBURGITE,-18.4,127.4,39.53,33.23,0.17,0.07
HARZBURGITE,-18.4,127.4,36.59,35.81,0.15,0.07
HARZBURGITE,-20.7,116.75,36.57,29.23,3.51,0.17
HARZBURGITE,-26.1,30.5,42.59,32.12,2.65,0.13
WEHRLITE,-25.945,30.7283,40.41,31.87,3.85,0.18
WEHRLITE,-26.0,30.5,38.76,30.07,4.12,0.18
WEHRLITE,-26.0,30.5,43.37,23.52,8.0,0.19
DUNITE,57.03,120.72,41.4,46.7,0.14,0.18
DUNITE,57.03,120.72,41.5,46.3,0.48,0.18
DUNITE,57.03,120.72,41.8,47.2,0.1,0.16
DUNITE,57.03,120.72,42.0,47.8,1.56,0.13
DUNITE,57.03,120.72,42.0,47.6,0.04,0.08
DUNITE,57.03,120.72,42.6,45.7,0.05,0.08
DUNITE,57.03,120.72,41.1,48.0,0.02,0.1
DUNITE,57.03,120.72,40.5,48.5,0.12,0.12
DUNITE,57.03,120.72,40.1,50.4,0.09,0.12
HARZBURGITE,42.0,143.0,42.96,46.19,0.54,0.13
HARZBURGITE,42.0,143.0,43.36,47.08,0.57,0.13
LHERZOLITE,42.0,143.0,43.43,42.49,1.61,0.13
LHERZOLITE,42.0,143.0,43.65,42.45,1.47,0.131
LHERZOLITE,42.0,143.0,43.63,43.02,1.66,0.13
LHERZOLITE,42.0,143.0,43.82,38.8,2.84,0.13
LHERZOLITE,42.0,143.0,44.56,38.66,2.81,0.139
DUNITE,42.0,143.0,41.77,37.2,5.21,0.14
DUNITE,42.0,143.0,45.77,17.7,13.26,0.08
DUNITE,42.0,143.0,42.55,29.3,8.14,0.12
DUNITE,42.0,143.0,46.05,16.6,13.97,0.07
NOT-GIVEN,42.0,143.0,41.44,9.13,16.9,0.05
NOT-GIVEN,42.0,143.0,48.45,7.57,20.18,0.04
NOT-GIVEN,42.0,143.0,44.95,8.35,18.54,0.05
DUNITE,64.9667,-49.9944,40.76,42.68,1.18,0.13
DUNITE,-25.5,31.3,38.5,39.13,1.29,0.14
DUNITE,-26.0,27.78,40.06,38.15,0.25,0.1
HARZBURGITE,-26.0,27.78,40.0,37.52,0.26,0.09
DUNITE,34.5,136.8,36.59,39.89,0.89,0.2
HARZBURGITE,-21.72,150.3,38.59,40.2,0.55,0.1
HARZBURGITE,-22.9272,149.953,40.78,42.04,0.99,0.13
HARZBURGITE,-22.9273,149.954,40.82,41.16,1.64,0.12
HARZBURGITE,-22.9555,149.901,43.16,33.67,0.08,0.12
DUNITE,35.3,135.3,34.04,40.5,0.28,0.1
HARZBURGITE,35.3,135.3,37.22,40.12,1.53,0.17
HARZBURGITE,35.3,135.3,41.49,43.38,1.18,0.15
HARZBURGITE,35.3,135.3,38.87,40.03,1.49,0.12
HARZBURGITE,35.3,135.3,41.07,41.43,1.58,0.18
HARZBURGITE,45.78,3.08,43.21,43.08,0.54,0.17
DUNITE,45.78,3.08,39.69,44.39,0.06,0.19
DUNITE,-18.8051,48.3225,39.18,39.22,0.55,0.16
DUNITE,-18.8079,48.3352,39.53,38.87,1.86,0.2
DUNITE,-18.8079,48.3352,37.56,39.09,0.67,0.19
DUNITE,-18.85,48.32,40.12,38.39,1.09,0.2
DUNITE,-18.8079,48.3352,37.43,38.37,0.85,0.2
DUNITE,-18.8079,48.3352,39.94,37.68,1.58,0.2
WEHRLITE,-18.85,48.32,39.92,36.48,3.36,0.25
WEHRLITE,-18.8079,48.3352,40.89,34.0,3.24,0.26
WEHRLITE,-18.8079,48.3352,40.63,33.21,4.23,0.24
WEHRLITE,-18.83,48.33,42.5,33.44,4.12,0.27
WEHRLITE,-18.8079,48.3352,42.89,31.74,5.03,0.35
WEHRLITE,-18.8062,48.3373,41.95,32.57,6.87,0.15
WEHRLITE,-18.8062,48.3373,42.5,32.47,7.46,0.14
WEHRLITE,-18.83,48.33,44.17,31.02,8.71,0.16
WEHRLITE,-18.8051,48.3225,44.52,29.72,9.42,0.17
DUNITE,-41.5,145.5,46.3,46.09,0.03,0.11
DUNITE,-41.5,145.5,39.56,44.82,0.07,0.1
DUNITE,-41.5,145.5,36.65,38.46,0.14,0.17
DUNITE,3.0,-78.32,41.7,34.2,5.94,0.18
WEHRLITE,3.0,-78.32,43.25,27.6,6.5,0.23
DUNITE,3.0,-78.32,42.85,31.5,6.28,0.17
DUNITE,7.95,-11.19,36.3,45.7,1.2,0.09
DUNITE,65.0,176.0,34.32,41.8,0.38,0.19
DUNITE,65.0,176.0,38.98,42.89,1.17,0.07
HARZBURGITE,65.0,176.0,40.46,38.94,0.08,0.1
HARZBURGITE,65.0,176.0,40.89,38.42,0.0,0.06
HARZBURGITE,65.0,176.0,40.07,37.72,0.0,0.06
DUNITE,38.79,15.21,40.4,47.82,0.36,0.14
WEHRLITE,38.79,15.21,44.85,28.61,9.17,0.19
HARZBURGITE,17.7,147.5,46.6,24.68,5.97,0.25
HARZBURGITE,12.1,143.9,42.64,36.84,2.87,0.13
WEHRLITE,2.5,-76.4,42.12,27.49,6.1,0.17
WEHRLITE,2.5,-76.4,39.96,30.92,5.5,0.17
WEHRLITE,2.5,-76.4,40.57,29.66,5.47,0.16
HARZBURGITE,-46.65,-75.45,38.5,36.4,0.1,0.08
