ROCK NAME,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MGO,CAO,NA2O,K2O,P2O5,MNO,CR2O3
PERIDOTITE,46.16,-107.37,40.5,,,,,,,38.9,,,,,,
PERIDOTITE,47.6372,-110.221,35.4,2,3.1,4.3,,6.2,,23,15.8,1.3,1.9,0.66,0.22,
PERIDOTITE,47.8336,-109.216,38,1.8,7,3.7,,6.5,,21.9,13,1.8,2.9,0.65,0.21,
PERIDOTITE,47.9353,-108.92,34.8,1.72,3.5,4,,4.3,,26.8,8.68,0.1,1.6,0.69,0.18,
PERIDOTITE,46.6722,-106.909,21.9,2.4,4.2,6.6,,4.4,,19.6,16.4,0.22,1.1,1.2,0.19,
PERIDOTITE,47.4333,-110.533,33.66,1.9,5.77,11.46,,,,22.74,14.5,0.43,2.74,0.91,0.21,
PERIDOTITE,47.6894,-109.288,36,1.68,4.37,,,,10.71,26.18,9.62,1.59,0.11,0.7,0.21,
PERIDOTITE,47.6825,-108.975,35.47,2.22,5.71,,,,10.45,20.39,13.77,2.49,0.36,1.1,0.22,
PERIDOTITE,47.6825,-108.975,35.32,2.24,5.82,,,,10.6,19.41,16.17,1.48,0.3,0.8,0.2,
PERIDOTITE,47.6375,-110.222,34.86,2.05,4.82,,,,10.61,23.88,13.68,2.25,0.41,1.25,0.2,
PERIDOTITE,47.6375,-110.222,34.33,1.78,4.8,,,,9.71,22.26,14.76,3.38,0.25,1.06,0.19,
PERIDOTITE,47.8428,-109.176,35.76,2.16,7.56,,,,9.96,15.29,16.04,3.03,0.65,1.08,0.21,
PERIDOTITE,46.4264,-107.299,13.07,3.34,3.86,,,,10.58,14.87,21.73,1.88,0.06,1.05,0.19,
PERIDOTITE,46.4267,-107.298,27.08,3.97,4.08,,,,11.59,20.33,14.12,1.93,0.03,0.83,0.16,
PERIDOTITE,46.675,-106.914,20.6,2.66,3.67,,,,9.85,18.52,15.69,1.66,0.18,1.08,0.17,
LHERZOLITE,49,-121,59.1,1.43,19.05,,,,2.6,2.95,5.98,4.14,3.83,0.03,0.04,0.23
LHERZOLITE,49,-121,58.8,1.78,16.87,,,,4.76,3.26,6.42,3.76,2.78,1.01,0.06,0.02
LHERZOLITE,49,-121,62.6,0.34,20.05,,,,1.37,0.99,1.86,6.16,7.04,0.16,0.01,0.25
DUNITE,66,-24,39.72,0.03,0.16,,,,11.57,47.05,0.37,0.06,0.01,0,0.18,
LHERZOLITE,-2,136,39.55,0.01,0.32,2.56,,8.49,,42.14,1.95,0.01,,,0.18,
LHERZOLITE,-2,136,39.95,0.02,4.08,3.04,,7.8,,35.85,4.62,0.11,0.002,0.004,0.18,
DUNITE,3,-78.32,41.87,0.21,5.16,12.41,,,11.16,34.65,5.42,0.1,,0.01,0.18,
LHERZOLITE,42,143,44.94,0.15,3.05,,,,7.73,38.81,2.97,0.25,0.04,,0.15,0.35
DUNITE,49,-79.37,41.2,0.023,0.3,,,,7.79,49.7,0.26,0.03,0,0,0.11,0.164
WEHRLITE,49,-79.37,43.2,0.093,1.87,,,,8.63,45.1,0.04,0,0,0,0.14,0.486
WEHRLITE,49,-79.37,43.4,0.113,2.9,,,,10.9,41.5,0.36,0,0.01,0,0.15,0.426
WEHRLITE,49,-79.37,42.8,0.125,2.06,,,,11.9,40.8,1.17,0.05,0,0,0.16,0.634
WEHRLITE,49,-79.37,44.6,0.275,5.28,,,,11.9,30.3,6.77,0,0,0,0.15,0.462
DUNITE,49,-79.37,42.1,0,0.09,,,,6.6,50.4,0.02,0.04,0,0,0.1,0.19
DUNITE,49,-79.37,41.6,0.013,0.88,,,,6.64,50,0.09,0,0,0,0.09,0.182
WEHRLITE,49,-79.37,44.9,0.189,3.91,,,,10.2,38.9,1.11,0,0,0.01,0.14,0.316
WEHRLITE,49,-79.37,44.6,0.09,2.1,,,,11.4,40.4,0.37,0.03,0,0,0.15,0.56
WEHRLITE,49,-79.37,42.5,0.083,1.88,,,,10.4,38.4,5.94,0.01,0,0.01,0.18,0.2
DUNITE,48.2,-80.1,37.9,0.12,2.6,,,,7.47,37.78,0.05,0,0,0.02,0.15,
HARZBURGITE,42,143,42.92,0.02,0.81,1.16,,6.64,,45.65,0.8,0.02,0,0,0.12,0.36
HARZBURGITE,42,143,43.65,0,0.5,,,,7.77,46.21,0.41,0.002,0.007,0,0.131,0.384
LHERZOLITE,42,143,44.34,0.015,1.89,,,,7.89,42.65,1.99,0.059,0.012,0.002,0.137,0.405
HARZBURGITE,42,143,44.09,0,0.46,,,,7.67,45.72,0.61,0.006,0.005,0,0.132,0.403
LHERZOLITE,42,143,44.26,0.013,1.42,,,,7.57,44.43,1.24,0.043,0.01,0,0.13,0.373
LHERZOLITE,42,143,43.82,0.02,2.09,1.35,,6.74,,42.56,1.98,0.06,0,0,0.13,0.4
LHERZOLITE,42,143,44.42,0.015,2.04,,,,7.88,42.24,1.98,0.069,0.006,0.002,0.135,0.399
LHERZOLITE,42,143,44.64,0.023,2.21,,,,7.95,41.97,2.26,,0.008,0.001,0.135,
LHERZOLITE,42,143,43.93,0.05,2.5,1.17,,6.78,,42.01,2.26,0.12,0.01,0,0.13,0.39
LHERZOLITE,42,143,44.43,0.045,2.47,,,,7.78,41.6,2.27,0.121,0.008,0.003,0.138,0.394
HARZBURGITE,42,143,43.54,0,0.56,1.24,,6.78,,46.54,0.44,0,0.01,0,0.13,0.4
HARZBURGITE,42,143,43.95,0.015,0.76,,,,7.6,45.9,0.82,0.03,0.01,0.002,0.128,0.362
LHERZOLITE,42,143,45.22,0.058,2.98,,,,7.68,40.39,2.57,0.19,0.006,0.003,0.14,0.368
LHERZOLITE,42,143,45.54,0.078,3.18,,,,7.9,39.43,2.85,0.234,0.009,0.004,0.14,0.367
LHERZOLITE,42,143,45.63,0.1,3.53,,,,8.08,38.7,3.07,0.269,0.008,0.006,0.142,0.357
LHERZOLITE,42,143,44.99,0.099,3.3,,,,7.34,40.06,2.94,0.243,0.006,0.004,0.137,0.533
LHERZOLITE,42,143,45.08,0.104,3.23,,,,7.94,40.18,2.82,0.246,0.008,0.006,0.141,0.367
LHERZOLITE,42,143,44.88,0.095,3.54,,,,8.02,39.58,2.99,0.275,0.008,0.004,0.142,0.375
LHERZOLITE,42,143,45.67,0.094,3.34,,,,7.61,38.96,3.11,0.265,0.008,0.004,0.138,0.395
LHERZOLITE,42,143,44.19,0.04,1.95,1.97,,5.99,,43.37,1.41,0.11,0,0,0.12,0.41
LHERZOLITE,42,143,44.61,0.03,1.9,,,,7.72,43.12,1.41,0.121,0.008,0.001,0.129,0.41
LHERZOLITE,42,143,44.48,0.017,2.07,,,,7.74,42.53,1.84,0.108,0.008,0.002,0.135,0.405
LHERZOLITE,42,143,44.64,0.031,1.95,,,,7.57,42.91,1.76,0.094,0.008,0.005,0.132,0.415
LHERZOLITE,42,143,44.97,0.039,1.88,,,,7.55,43.03,1.67,0.107,0.008,0.002,0.132,0.405
LHERZOLITE,42,143,45.49,0.089,3.19,,,,7.75,39.31,2.74,0.237,0.009,0.007,0.137,0.371
LHERZOLITE,42,143,44.1,0.07,3.15,1.1,,6.66,,41.12,2.62,0.15,0,0,0.13,0.39
LHERZOLITE,42,143,44.73,0.07,3.16,,,,7.6,41.11,2.64,0.15,,,0.14,0.39
LHERZOLITE,42,143,44.54,0.072,3.15,,,,7.57,40.94,2.63,0.153,0.009,0.005,0.14,0.387
LHERZOLITE,42,143,44.63,0.072,3.14,,,,7.99,40.74,2.77,0.229,0.008,0.004,0.141,0.352
PERIDOTITE,63.6,34.8,43.8,0.34,4.23,,,,10.89,34.8,4.22,0.02,0.29,0.1,0.18,
PERIDOTITE,63.6,34.8,44.3,0.27,4.03,,,,9.54,37.1,3.31,0.03,0.14,0.09,0.17,
PERIDOTITE,63.6,34.8,43.8,0.24,3.14,,,,11.43,36.1,3.69,0.02,0.06,0.1,0.18,
PERIDOTITE,63.6,34.8,39.9,0.06,0.92,,,,10.44,46.5,0.6,0.16,0.04,0.02,0.18,
DUNITE,63.6,34.8,45.2,0.3,3.77,,,,10.89,34.4,3.72,0.03,0.16,0.12,0.18,
PERIDOTITE,49.2,-94.6,45.5,0.48,9.4,,,,12.06,16.4,9.67,0.97,0.09,0.06,0.21,
HARZBURGITE,42,143,43.95,0.015,1.07,,,,7.82,44.51,0.8,0.021,0.003,,0.132,0.477
HARZBURGITE,42,143,43.74,0.01,0.75,,,,7.93,46.14,0.96,0,0.02,0,0.13,
LHERZOLITE,42,143,44.3,0.071,2.19,,,,7.96,41.8,1.95,0.171,0.006,0.003,0.132,0.4
LHERZOLITE,42,143,44.02,0.08,2.19,,,,7.94,42.56,2.3,0.19,0.03,0.01,0.13,
LHERZOLITE,42,143,44.95,0.15,4.14,,,,8.04,37.1,3.59,0.41,0.01,0.01,0.145,0.376
LHERZOLITE,42,143,44.82,0.17,3.8,,,,8.15,38.77,3.91,0.39,0.02,0.01,0.14,
LHERZOLITE,42,143,45.15,0.14,3.9,,,,8.21,37.55,3.18,0.362,0.004,0.01,0.14,0.379
LHERZOLITE,42,143,44.41,0.15,3.48,,,,8.31,39.1,3.34,0.35,0.01,0.01,0.14,
PERIDOTITE,42,143,42.03,0.27,2.83,2.44,,10.88,,34.33,2.53,0.44,0.04,0.01,0.21,0.38
PERIDOTITE,42,143,40.74,0.08,2.5,3.17,,5.32,,36.77,1.6,0.17,0.02,0.01,0.13,0.39
PERIDOTITE,-17.7,127.7,40.95,0.3,5.05,4.31,,6.86,,31.16,3.24,0.13,0.02,0.03,0.13,
PERIDOTITE,-17.7,127.7,40.9,0.27,4.78,3.39,,8.2,,30.9,2.98,0.08,0,0.03,0.12,
PERIDOTITE,-17.7,127.7,34.73,0.13,2.24,9.81,,1.73,,34.83,0.77,0.02,0,0.02,0.11,
PERIDOTITE,-17.7,127.7,36.26,0.15,2.19,11.3,,1.89,,33.46,0.36,0.03,0,0.02,0.14,
HARZBURGITE,-18.4,127.4,39.53,0.18,3.11,6.98,,3.67,,33.23,0.17,0.02,0.01,0.02,0.07,
