ROCK NAME,SIO2,CAO,AL2O3,MGO
LHERZOLITE,38.89,0.28,0.34,54.32496
LHERZOLITE,45.9,3.4,3.76,45.4
LHERZOLITE,41.78,0.33,0.45,56.75
LHERZOLITE,44.08,0.76,0.79,53.72971
LHERZOLITE,43.73,1.23,0.55,53.42
LHERZOLITE,42.15,1.78,0.885877419,53.90095871
LHERZOLITE,45.04,1.84,0.6,50.53564
LHERZOLITE,42.63,1.37,0.6,53.73009
LHERZOLITE,42.89,0.43,0.61,55.43
LHERZOLITE,43.72,0.63,0.63,53.3
LHERZOLITE,39.6,0.44,1.05,44.43795
LHERZOLITE,45.82,0.45,0.67,52.72
LHERZOLITE,43.7,0.39,0.97,53.78
LHERZOLITE,39.1,0.54,1.19,44.47635
LHERZOLITE,45.2,0.41,0.7,53.18
LHERZOLITE,43.1,0.59,1.2,54.41
LHERZOLITE,43.2,0.61,0.74,54.10931
LHERZOLITE,43.5,1.13,0.75,53.0202
LHERZOLITE,40.66,2.22,0.76,55.07
LHERZOLITE,42.24,1.83,1.11893685,53.55735215
LHERZOLITE,41.75,0.45,0.81,54.51383
LHERZOLITE,43.45,1.08,0.81,52.74385
LHERZOLITE,42.13,1.57,1.17,53.47
LHERZOLITE,43.72,1.14,1.21,53.28
LHERZOLITE,43.65,1.19,1.24,52.40366
LHERZOLITE,43.73,1.39,0.85,52.15
LHERZOLITE,44.07,1.63,0.85,52.28
LHERZOLITE,43.97,0.5,0.85,54.39
LHERZOLITE,41.57,2.34,0.86,51.61
LHERZOLITE,46.18,0.63,0.86,51.8
LHERZOLITE,44.26,0.76,1.22,53.53162
LHERZOLITE,45.01,0.51,1.34,53.04576
LHERZOLITE,46.64,0.5,0.88,51.51
LHERZOLITE,45.36,0.7,1.4,51.83526
LHERZOLITE,46.36,0.55,0.89,51.88
LHERZOLITE,42.35,1.5,1.82,53.92
LHERZOLITE,41.03,1.03,0.9,48.69133
LHERZOLITE,41.4,5.2,0.9,49.6082
LHERZOLITE,43.25,0.76,1.31,52.86628
LHERZOLITE,44.05,0.75,0.9,52.90719
LHERZOLITE,46.9,0.79,0.9,50.74
LHERZOLITE,43.86,1.19,1.28,53.05
LHERZOLITE,39.75,3.12,0.91,51.72436
LHERZOLITE,42.9,0.54,0.91,53.65
LHERZOLITE,42.59,2.07,0.94,53.57
LHERZOLITE,41.72,1.43,1.33,53.59861
