ROCK NAME,SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5
WEHRLITE,45.42,0.17,2.57,0.32,11.3384,7.54,31.93,0.17,0.01,0.24,0.01
WEHRLITE,41.7,0.11,1.78,0.77,13.99355,5.22,35.45,0.18,0.08,0.28,0.02
WEHRLITE,43.64,0.48,3.54,0.25,10.46436,9.06,29.89,0.17,0.03,0.33,0.02
WEHRLITE,45.32,0.86,6.07,0.37,12.55719,10.38,22.54,0.18,0.17,1.02,0.02
WEHRLITE,42.61,0.324,6.34,0.356,7.40776,7.99,33.01,0.143,0.08,0.34,0.021
WEHRLITE,42.7,0.17,1.59,0.38,9.71668,2.82,40.91,0.19,0.06,0.35,0.03
WEHRLITE,40.35,0.06,4.55,1.24,10.31617,3.78,38.64,0.13,0.11,0.44,0.03
WEHRLITE,41.5,0.071,0.41,0.31,7.92,2.49,46.76,0.134,0.28,0.09,0.036
WEHRLITE,41.34,0.09,0.76,0.36,13.53354,2.82,39.47,0.24,0.03,0.43,0.04
WEHRLITE,41.75,0.2,0.61,0.42,7.11132,1.72,46.87,0.13,0.12,0.43,0.04
WEHRLITE,43.47,0.8,3.82,0.22,14.86437,8.67,25.72,0.2,0.14,0.96,0.04
WEHRLITE,39.75,0.07,3.7,0.69,9.13597,1.36,43.6,0.14,0,0.16,0.05
WEHRLITE,42.08,0.1,0.8,0.42,9.91,2.44,43.78,0.26,0.05,0.21,0.05
WEHRLITE,42.36,0.34,2.82,0.32,11.78,4.57,36.86,0.16,0.08,0.35,0.05
WEHRLITE,42.16,0.18,1.59,0.31,10.62022,4.03,39.3,0.22,0.06,0.42,0.05
WEHRLITE,40.53,0.19,2.54,0.21,7.87021,1.7,44.74,0.1,0.13,0.42,0.05
WEHRLITE,42.69,0.23,2.03,0.33,9.94,3.38,40.68,0.15,0.08,0.29,0.06
WEHRLITE,42.25,0.17,1.65,0.34,10.45304,3.2,39.98,0.19,0.09,0.38,0.06
WEHRLITE,41.49,0.11,0.98,0.35,11.82012,2.96,40.52,0.21,0.08,0.48,0.06
WEHRLITE,41.05,0.178,2.33,0.339,10.86891,4.23,38.07,0.193,0.04,0.14,0.065
WEHRLITE,47.09,0.83,6.03,0.49,9.63285,11.83,21.9,0.15,0.18,0.86,0.07
WEHRLITE,40.54,0.44,3.22,0.1,16.0775,6,32.02,0.23,0.11,0.37,0.15
DUNITE,39.29,0,1.01,0.53,6.86836,0.07,37.04,0.06,0,0,0
DUNITE,35.86,0,0.84,0.3,6.39447,0,41.63,0.07,0.03,0.06,0
DUNITE,33.54,0,0.07,0.19,5.08834,0.21,42.14,0.08,0.02,0,0
DUNITE,35.25,0,0.07,0.21,6.41886,0.1,41.35,0.09,0,0,0
DUNITE,34.44,0,0.12,0.32,6.31098,0.2,43.4,0.09,0,0,0
DUNITE,39.47,0,0.4,0.3,6.61664,0.15,40.95,0.1,0,0,0
