ROCK NAME,SIO2,CAO,AL2O3,MGO
DUNITE,39.72,0.37,0.16,47.05
DUNITE,41.87,5.42,5.16,34.65
DUNITE,41.2,0.26,0.3,49.7
DUNITE,42.1,0.02,0.09,50.4
DUNITE,41.6,0.09,0.88,50.0
DUNITE,37.9,0.05,2.6,37.78
DUNITE,45.2,3.72,3.77,34.4
DUNITE,37.72,3.54,3.94,32.46
DUNITE,41.4,0.14,1.31,46.7
DUNITE,41.5,0.48,1.25,46.3
DUNITE,41.8,0.1,1.39,47.2
DUNITE,42.0,1.56,0.77,47.8
DUNITE,42.0,0.04,1.08,47.6
DUNITE,42.6,0.05,1.06,45.7
DUNITE,41.1,0.02,1.23,48.0
DUNITE,40.5,0.12,0.94,48.5
DUNITE,40.1,0.09,0.29,50.4
DUNITE,41.77,5.21,5.1,37.2
DUNITE,45.77,13.26,15.93,17.7
DUNITE,42.55,8.14,10.71,29.3
DUNITE,46.05,13.97,19.29,16.6
DUNITE,26.6,10.68,0.18,30.63
DUNITE,40.76,1.18,2.37,42.68
DUNITE,38.5,1.29,2.36,39.13
DUNITE,40.06,0.25,2.7,38.15
DUNITE,36.59,0.89,1.75,39.89
DUNITE,34.04,0.28,0.91,40.5
DUNITE,39.69,0.06,0.15,44.39
DUNITE,39.18,0.55,0.88,39.22
DUNITE,39.53,1.86,0.9,38.87
DUNITE,37.56,0.67,0.89,39.09
DUNITE,40.12,1.09,0.91,38.39
DUNITE,37.43,0.85,0.92,38.37
DUNITE,39.94,1.58,0.95,37.68
DUNITE,46.3,0.03,0.16,46.09
DUNITE,39.56,0.07,0.1,44.82
DUNITE,36.65,0.14,0.38,38.46
DUNITE,41.7,5.94,5.37,34.2
DUNITE,42.85,6.28,6.81,31.5
DUNITE,44.1,3.0,4.3,37.0
DUNITE,45.1,4.2,4.4,35.7
DUNITE,45.4,3.7,4.1,36.3
DUNITE,45.7,3.6,4.8,35.9
DUNITE,43.1,3.3,4.7,36.8
DUNITE,36.3,1.2,0.7,45.7
DUNITE,34.32,0.38,2.03,41.8
DUNITE,38.98,1.17,1.8,42.89
DUNITE,40.4,0.36,0.52,47.82
DUNITE,39.69,0.58,0.16,45.33
DUNITE,38.2,2.31,4.0,29.77
DUNITE,38.85,5.45,5.65,26.66
DUNITE,38.29,3.67,4.13,27.46
DUNITE,38.0,3.95,4.69,26.62
DUNITE,39.69,5.82,5.73,26.48
DUNITE,36.81,0.34,0.52,38.65
DUNITE,38.66,0.8,3.09,35.69
DUNITE,38.29,0.67,2.38,36.31
DUNITE,37.01,1.13,1.94,39.41
DUNITE,36.79,1.86,2.57,39.1
DUNITE,34.57,0.15,0.89,39.64
DUNITE,35.86,0.02,0.54,38.42
DUNITE,39.33,0.01,0.05,36.55
DUNITE,39.62,0.02,0.0,33.84
DUNITE,37.65,6.36,2.19,29.18
DUNITE,33.11,5.72,6.85,24.37
DUNITE,41.88,4.67,5.03,35.41
DUNITE,34.08,0.01,0.27,39.82
DUNITE,37.62,0.02,1.31,38.97
DUNITE,38.96,0.21,1.89,37.35
DUNITE,36.0,0.47,0.87,37.08
DUNITE,39.84,0.7,2.35,36.7
DUNITE,38.99,0.41,2.19,35.78
DUNITE,36.64,0.02,1.05,37.29
DUNITE,39.37,2.59,1.92,34.14
DUNITE,36.75,0.04,1.24,37.0
DUNITE,35.8,0.02,0.71,38.95
DUNITE,29.99,0.03,0.1,36.96
DUNITE,37.58,0.67,1.62,35.57
DUNITE,37.11,0.03,0.76,39.66
DUNITE,36.56,0.56,1.26,37.52
DUNITE,34.02,0.05,0.55,39.26
DUNITE,37.84,0.02,1.38,37.48
DUNITE,39.26,1.29,1.59,36.75
DUNITE,38.78,0.02,2.21,34.91
DUNITE,36.81,0.02,0.92,39.1
DUNITE,34.31,0.05,1.42,34.54
DUNITE,37.03,0.06,1.25,37.52
DUNITE,35.79,0.04,1.28,38.2
DUNITE,33.9,1.89,3.11,33.9
DUNITE,41.21,1.46,0.67,46.46
DUNITE,40.78,1.31,0.7,45.78
DUNITE,39.09,1.07,0.61,44.44
DUNITE,40.7,1.07,1.6,45.79
DUNITE,41.07,0.1,0.74,41.37
DUNITE,39.26,7.33,2.8,30.09
DUNITE,40.74,0.51,0.33,48.3
DUNITE,40.84,0.48,0.32,48.43
DUNITE,41.53,0.28,0.44,47.98
DUNITE,40.78,0.3,0.29,49.14
DUNITE,41.05,0.33,0.3,49.05
DUNITE,40.78,0.61,1.05,47.49
DUNITE,41.45,0.07,0.11,49.59
DUNITE,39.58,0.64,1.16,47.37
DUNITE,38.71,2.18,1.2,45.58
DUNITE,46.8,14.71,17.04,15.9
DUNITE,46.35,15.85,19.65,12.97
DUNITE,45.54,12.67,15.69,20.36
DUNITE,44.34,11.5,17.89,19.65
DUNITE,45.46,10.8,14.87,23.34
DUNITE,44.28,12.9,16.95,18.74
DUNITE,48.49,18.33,17.84,13.12
DUNITE,44.75,15.36,21.36,12.72
DUNITE,44.16,9.8,12.4,27.44
DUNITE,45.25,11.03,18.5,18.01
DUNITE,46.59,13.25,14.88,17.12
DUNITE,43.82,15.24,21.02,12.82
DUNITE,45.45,17.26,21.67,11.2
DUNITE,40.52,0.2,0.1,49.0
DUNITE,39.67,0.21,0.28,48.71
DUNITE,39.99,0.64,1.05,47.8
DUNITE,42.47,0.64,1.17,45.88
DUNITE,43.4,0.8,0.86,45.49
DUNITE,38.7,1.21,1.5,41.53
DUNITE,37.37,0.38,0.41,44.03
DUNITE,41.35,0.27,0.21,47.9
DUNITE,39.33,0.18,0.85,44.9
DUNITE,41.55,3.26,1.78,39.1
DUNITE,39.92,0.07,1.11,46.06
DUNITE,39.44,0.08,1.19,45.22
DUNITE,40.31,0.64,0.93,45.07
DUNITE,36.6,2.41,5.13,28.3
DUNITE,35.5,0.35,0.69,41.6
DUNITE,35.5,0.25,0.54,41.6
DUNITE,35.1,0.7,0.5,42.8
DUNITE,38.8,0.5,0.77,38.8
DUNITE,38.4,0.88,0.66,43.1
DUNITE,37.9,0.11,0.2,45.4
DUNITE,36.5,0.32,0.32,43.2
DUNITE,37.4,0.08,0.27,43.0
DUNITE,38.8,0.12,0.1,46.4
DUNITE,37.9,0.13,0.14,43.9
DUNITE,37.8,0.11,0.54,44.1
DUNITE,37.5,1.29,0.34,38.7
DUNITE,39.1,0.03,0.76,43.9
DUNITE,39.7,0.51,0.11,47.8
DUNITE,39.3,0.35,0.11,48.0
DUNITE,39.1,0.5,0.6,45.7
DUNITE,25.2,0.1,6.8,29.3
DUNITE,33.8,0.2,0.2,41.6
DUNITE,32.9,0.04,2.9,35.8
DUNITE,31.0,0.16,2.5,39.8
DUNITE,31.5,0.12,4.2,37.1
DUNITE,36.9,0.21,0.25,44.7
DUNITE,37.8,0.27,1.9,47.1
DUNITE,34.2,0.09,0.77,41.9
DUNITE,35.5,0.34,0.97,44.0
DUNITE,35.7,0.28,1.2,43.2
DUNITE,9.8,0.63,9.9,19.2
DUNITE,35.7,0.45,1.5,42.6
DUNITE,33.4,0.63,3.4,38.1
DUNITE,14.5,0.07,7.2,24.3
DUNITE,37.0,0.15,0.73,47.2
DUNITE,35.2,0.04,1.6,42.4
DUNITE,37.6,0.14,0.81,45.0
DUNITE,33.0,1.2,1.5,38.0
DUNITE,48.8,17.7,2.34,21.5
DUNITE,38.1,0.5,0.38,45.4
DUNITE,38.1,0.43,0.34,45.1
DUNITE,38.3,0.42,0.39,46.1
DUNITE,44.7,9.41,1.22,34.8
DUNITE,39.5,2.9,0.91,41.4
DUNITE,48.1,16.7,2.85,23.6
DUNITE,33.8,0.03,0.38,40.6
DUNITE,39.7,0.74,0.75,45.8
DUNITE,34.9,0.3,0.44,40.9
DUNITE,29.7,0.16,2.91,35.9
DUNITE,34.3,0.99,0.94,40.2
DUNITE,31.9,0.12,1.08,39.3
DUNITE,40.2,4.42,0.73,40.2
DUNITE,36.1,1.69,0.63,40.4
DUNITE,42.6,16.6,20.4,8.48
DUNITE,50.2,20.1,2.64,20.4
DUNITE,48.1,18.2,3.65,20.3
DUNITE,37.8,0.42,0.59,43.7
DUNITE,51.1,23.0,3.51,16.9
DUNITE,48.0,8.88,13.8,7.97
DUNITE,33.8,25.0,13.4,5.97
DUNITE,48.5,8.7,15.7,3.38
DUNITE,40.0,23.0,11.6,6.66
DUNITE,5.33,51.4,1.22,0.73
DUNITE,51.4,9.04,16.1,2.36
DUNITE,37.6,1.23,0.59,41.5
DUNITE,35.2,0.13,0.49,40.7
DUNITE,35.3,0.12,0.48,40.6
DUNITE,35.6,0.13,1.21,41.9
DUNITE,37.6,0.14,0.25,41.5
DUNITE,35.6,0.09,0.97,41.4
DUNITE,36.3,0.21,0.72,44.4
DUNITE,31.9,0.12,2.74,39.3
DUNITE,34.1,0.32,2.94,40.9
DUNITE,35.1,0.24,1.18,40.6
DUNITE,40.5,1.4,1.3,44.4
DUNITE,38.8,0.7,0.81,43.8
DUNITE,37.1,0.67,0.5,42.6
DUNITE,36.6,0.26,0.76,42.9
DUNITE,48.9,19.2,4.1,17.3
DUNITE,37.4,0.22,0.42,43.7
DUNITE,38.1,0.45,0.34,40.8
DUNITE,37.1,0.29,0.46,43.4
DUNITE,37.8,1.6,0.76,37.6
DUNITE,37.8,0.35,0.34,44.4
DUNITE,37.7,0.26,0.42,42.7
DUNITE,37.8,0.26,0.42,43.9
DUNITE,38.1,0.29,0.42,44.0
DUNITE,39.4,3.6,1.7,34.0
DUNITE,37.8,0.83,0.86,42.1
DUNITE,43.7,11.8,15.6,9.1
DUNITE,51.4,20.2,1.7,20.2
DUNITE,37.4,0.12,2.6,36.8
DUNITE,35.1,0.93,0.5,39.6
DUNITE,37.1,0.19,0.64,42.9
DUNITE,37.7,0.09,0.74,43.0
DUNITE,37.1,0.12,0.64,42.8
DUNITE,36.6,0.09,0.46,43.4
DUNITE,37.1,0.32,0.54,42.9
DUNITE,36.6,0.12,0.64,42.4
DUNITE,39.0,2.6,0.64,36.8
DUNITE,37.7,0.06,0.46,41.6
DUNITE,37.7,0.51,0.5,41.2
DUNITE,36.1,0.32,0.74,40.5
DUNITE,37.4,0.38,0.54,42.8
DUNITE,36.6,0.06,0.54,42.3
DUNITE,36.7,0.34,0.5,43.2
DUNITE,35.9,0.31,0.59,38.3
DUNITE,38.1,0.43,0.59,43.1
DUNITE,37.0,0.71,0.5,41.3
DUNITE,37.4,0.34,0.59,43.5
DUNITE,40.0,1.3,4.8,32.5
DUNITE,39.9,0.17,0.2,47.3
DUNITE,39.9,0.18,0.2,48.5
DUNITE,38.7,0.25,0.11,46.3
DUNITE,39.3,1.5,0.25,44.8
DUNITE,39.6,0.3,0.07,47.4
DUNITE,37.9,0.21,0.29,44.4
DUNITE,39.3,0.45,0.5,45.1
DUNITE,39.4,0.21,0.2,44.7
DUNITE,41.4,1.0,0.58,43.5
DUNITE,32.2,0.34,3.5,40.1
DUNITE,33.1,0.13,1.9,41.4
DUNITE,38.6,0.26,1.9,45.1
DUNITE,43.4,0.73,0.82,43.4
DUNITE,52.3,15.8,2.0,20.9
DUNITE,40.1,1.2,6.6,43.2
DUNITE,44.1,0.69,1.2,46.4
DUNITE,34.1,1.4,0.58,38.4
DUNITE,41.6,0.61,0.95,34.8
DUNITE,43.1,1.2,1.4,42.9
DUNITE,39.2,0.7,0.6,41.1
DUNITE,39.6,1.5,0.93,41.9
DUNITE,35.2,0.6,1.2,40.8
DUNITE,35.7,0.8,0.93,42.5
DUNITE,36.1,0.7,1.1,42.6
DUNITE,35.8,0.15,0.97,43.3
DUNITE,35.0,0.15,0.87,41.7
DUNITE,35.1,0.2,1.2,41.5
DUNITE,37.7,0.15,1.1,43.5
DUNITE,37.6,0.88,1.2,46.2
DUNITE,35.8,1.0,0.89,42.6
DUNITE,35.7,0.2,0.8,42.7
DUNITE,35.2,0.15,0.86,42.7
DUNITE,37.4,1.9,1.2,45.5
DUNITE,35.2,0.63,1.1,42.4
DUNITE,37.1,0.32,1.4,45.0
DUNITE,36.6,0.24,0.06,44.8
DUNITE,36.7,0.24,3.2,43.5
DUNITE,36.9,0.27,0.01,45.6
DUNITE,33.1,0.3,0.65,38.2
DUNITE,39.9,0.75,2.3,44.2
DUNITE,43.2,0.52,1.1,46.4
DUNITE,40.8,0.58,1.0,46.9
DUNITE,40.3,0.31,0.7,46.0
DUNITE,39.5,0.06,1.2,40.1
DUNITE,40.2,0.14,0.37,46.0
DUNITE,48.5,23.0,14.5,4.7
DUNITE,76.6,0.76,13.1,0.14
DUNITE,40.6,0.19,0.69,49.2
DUNITE,41.6,2.8,1.9,42.2
DUNITE,39.2,0.16,0.2,45.1
DUNITE,41.1,0.2,0.32,49.1
DUNITE,35.2,0.19,1.83,44.2
DUNITE,43.1,0.28,0.64,45.4
DUNITE,35.2,0.2,0.2,41.7
DUNITE,37.4,0.81,0.46,40.1
DUNITE,38.5,0.01,0.23,43.4
DUNITE,38.11,0.26,0.96,45.02
DUNITE,40.4,6.0,1.96,33.2
DUNITE,42.7,5.24,2.2,29.0
DUNITE,42.5,0.19,0.8,36.0
DUNITE,35.6,3.88,1.07,28.1
DUNITE,36.3,0.2,0.26,34.7
DUNITE,41.7,6.42,0.49,33.1
DUNITE,45.7,15.7,19.1,9.9
DUNITE,38.4,0.12,0.28,46.8
DUNITE,37.6,0.22,0.2,41.8
DUNITE,38.9,0.12,0.41,46.9
DUNITE,35.6,0.23,0.31,43.2
DUNITE,38.5,1.75,0.35,43.2
DUNITE,35.9,0.2,0.25,44.3
DUNITE,36.4,1.03,0.17,41.5
DUNITE,38.3,0.24,0.39,44.6
DUNITE,43.6,0.89,0.53,44.6
DUNITE,40.1,0.87,0.46,43.3
DUNITE,40.3,0.25,0.21,46.9
DUNITE,40.0,0.32,0.34,47.1
