ROCK NAME,SIO2,CR2O3,FEOT,MNO
DUNITE,41.2,0.164,7.79,0.11
DUNITE,42.1,0.19,6.6,0.1
DUNITE,41.6,0.182,6.64,0.09
DUNITE,39.09,0.587,10.58,0.17
DUNITE,40.78,0.509,8.7,0.132
HARZBURGITE,43.65,0.384,7.77,0.131
HARZBURGITE,44.09,0.403,7.67,0.132
HARZBURGITE,43.95,0.362,7.6,0.128
HARZBURGITE,43.95,0.477,7.82,0.132
HARZBURGITE,40.78,0.29,6.9,0.13
HARZBURGITE,40.82,0.28,7.44,0.12
HARZBURGITE,43.16,0.31,7.3,0.12
HARZBURGITE,43.87,0.432,7.7,0.132
HARZBURGITE,43.99,0.399,7.73,0.127
HARZBURGITE,43.98,0.478,7.61,0.127
HARZBURGITE,42.61,0.74,7.82,0.12
HARZBURGITE,44.61,0.31,11.21,0.14
HARZBURGITE,43.97,0.33,8.94,0.13
HARZBURGITE,45.01,0.49,8.19,0.14
HARZBURGITE,44.96,0.36,8.5,0.11
HARZBURGITE,43.88,0.33,8.55,0.13
HARZBURGITE,45.76,0.33,8.22,0.11
HARZBURGITE,44.1,0.38,9.09,0.13
HARZBURGITE,44.3,0.49,8.28,0.13
HARZBURGITE,44.23,0.44,8.13,0.13
HARZBURGITE,45.4,0.43,8.02,0.13
HARZBURGITE,44.14,0.42,8.33,0.13
HARZBURGITE,43.81,0.4,8.3,0.14
HARZBURGITE,43.49,0.46,8.49,0.13
HARZBURGITE,44.69,0.42,8.18,0.13
HARZBURGITE,42.63,0.38,8.29,0.13
HARZBURGITE,44.33,0.44,7.91,0.14
HARZBURGITE,44.23,0.59,8.38,0.18
HARZBURGITE,44.14,0.37,8.7,0.13
HARZBURGITE,44.9,0.39,8.43,0.14
HARZBURGITE,43.74,0.38,8.34,0.14
HARZBURGITE,44.97,0.54,8.21,0.13
HARZBURGITE,44.21,0.49,11.13,0.12
HARZBURGITE,44.29,0.4,8.74,0.14
HARZBURGITE,46.16,0.39,8.5,0.12
HARZBURGITE,44.49,0.39,8.31,0.11
HARZBURGITE,44.02,0.38,8.29,0.14
HARZBURGITE,44.86,0.43,7.85,0.14
HARZBURGITE,44.22,0.39,8.62,0.12
HARZBURGITE,44.61,0.41,11.0,0.13
HARZBURGITE,43.87,0.38,8.48,0.12
HARZBURGITE,44.71,0.42,8.19,0.13
HARZBURGITE,46.02,0.44,8.22,0.11
HARZBURGITE,44.39,0.39,11.45,0.19
HARZBURGITE,44.81,0.48,7.88,0.11
HARZBURGITE,44.11,0.38,8.57,0.14
HARZBURGITE,43.7,0.5,8.93,0.15
HARZBURGITE,44.48,0.48,7.95,0.14
HARZBURGITE,44.97,0.49,8.08,0.13
HARZBURGITE,43.68,0.38,8.38,0.12
HARZBURGITE,47.22,0.43,7.69,0.14
HARZBURGITE,43.8,0.42,8.21,0.15
HARZBURGITE,44.63,0.36,9.18,0.12
HARZBURGITE,44.31,0.3,8.43,0.13
