ROCK NAME,SIO2,TIO2,AL2O3,CAO
DUNITE,39.72,0.03,0.16,0.37
DUNITE,41.87,0.21,5.16,5.42
DUNITE,41.2,0.023,0.3,0.26
DUNITE,42.1,0,0.09,0.02
DUNITE,41.6,0.013,0.88,0.09
DUNITE,37.9,0.12,2.6,0.05
DUNITE,45.2,0.3,3.77,3.72
DUNITE,37.72,0.13,3.94,3.54
DUNITE,41.4,0.081,1.31,0.14
DUNITE,41.5,0.07,1.25,0.48
DUNITE,41.8,0.054,1.39,0.1
DUNITE,42,0.038,0.77,1.56
DUNITE,42,0.031,1.08,0.04
DUNITE,42.6,0.017,1.06,0.05
DUNITE,41.1,0.027,1.23,0.02
DUNITE,40.5,0.007,0.94,0.12
DUNITE,40.1,0.016,0.29,0.09
DUNITE,41.77,0.01,5.1,5.21
DUNITE,45.77,0.03,15.93,13.26
DUNITE,42.55,0.01,10.71,8.14
DUNITE,46.05,0.02,19.29,13.97
DUNITE,26.6,0.02,0.18,10.68
DUNITE,40.76,0.11,2.37,1.18
DUNITE,38.5,0.19,2.36,1.29
DUNITE,40.06,0.07,2.7,0.25
DUNITE,36.59,0.19,1.75,0.89
DUNITE,34.04,0.17,0.91,0.28
DUNITE,39.69,0.04,0.15,0.06
DUNITE,39.18,0.05,0.88,0.55
DUNITE,39.53,0.04,0.9,1.86
DUNITE,37.56,0.06,0.89,0.67
DUNITE,40.12,0.07,0.91,1.09
DUNITE,37.43,0.07,0.92,0.85
DUNITE,39.94,0.08,0.95,1.58
DUNITE,46.3,0.01,0.16,0.03
DUNITE,39.56,0.03,0.1,0.07
DUNITE,36.65,0.03,0.38,0.14
DUNITE,41.7,0.21,5.37,5.94
DUNITE,42.85,0.31,6.81,6.28
DUNITE,44.1,0.2,4.3,3
DUNITE,45.1,0.2,4.4,4.2
DUNITE,45.4,0.2,4.1,3.7
DUNITE,45.7,0.2,4.8,3.6
DUNITE,43.1,0.2,4.7,3.3
DUNITE,36.3,0.06,0.7,1.2
DUNITE,34.32,0.03,2.03,0.38
DUNITE,38.98,0.01,1.8,1.17
DUNITE,40.4,0.11,0.52,0.36
DUNITE,39.69,0.17,0.16,0.58
DUNITE,38.2,0.19,4,2.31
DUNITE,38.85,0.26,5.65,5.45
DUNITE,38.29,0.39,4.13,3.67
DUNITE,38,0.32,4.69,3.95
DUNITE,39.69,0.28,5.73,5.82
DUNITE,36.81,0.005,0.52,0.34
DUNITE,38.66,0.05,3.09,0.8
DUNITE,38.29,0.06,2.38,0.67
DUNITE,37.01,0.08,1.94,1.13
DUNITE,36.79,0.08,2.57,1.86
DUNITE,34.57,0.02,0.89,0.15
DUNITE,35.86,0.01,0.54,0.02
DUNITE,39.33,0.004,0.05,0.01
DUNITE,39.62,0.005,0,0.02
DUNITE,37.65,0.57,2.19,6.36
DUNITE,33.11,2.57,6.85,5.72
DUNITE,41.88,0.22,5.03,4.67
DUNITE,34.08,0.002,0.27,0.01
DUNITE,37.62,0.036,1.31,0.02
DUNITE,38.96,0.089,1.89,0.21
DUNITE,36,0.022,0.87,0.47
DUNITE,39.84,0.111,2.35,0.7
DUNITE,38.99,0.118,2.19,0.41
DUNITE,36.64,0.049,1.05,0.02
DUNITE,39.37,0.089,1.92,2.59
DUNITE,36.75,0.065,1.24,0.04
DUNITE,35.8,0.019,0.71,0.02
DUNITE,29.99,0.002,0.1,0.03
DUNITE,37.58,0.097,1.62,0.67
DUNITE,37.11,0.027,0.76,0.03
DUNITE,36.56,0.056,1.26,0.56
DUNITE,34.02,0.017,0.55,0.05
DUNITE,37.84,0.06,1.38,0.02
DUNITE,39.26,0.051,1.59,1.29
DUNITE,38.78,0.096,2.21,0.02
DUNITE,36.81,0.025,0.92,0.02
DUNITE,34.31,0.06,1.42,0.05
DUNITE,37.03,0.044,1.25,0.06
DUNITE,35.79,0.052,1.28,0.04
DUNITE,33.9,0.14,3.11,1.89
DUNITE,41.21,0.49,0.67,1.46
DUNITE,40.78,0.52,0.7,1.31
DUNITE,39.09,0.46,0.61,1.07
DUNITE,40.7,0.03,1.6,1.07
DUNITE,41.07,0.09,0.74,0.1
DUNITE,39.26,0.12,2.8,7.33
DUNITE,40.74,0.04,0.33,0.51
DUNITE,40.84,0.04,0.32,0.48
DUNITE,41.53,0.04,0.44,0.28
DUNITE,40.78,0.04,0.29,0.3
DUNITE,41.05,0.04,0.3,0.33
DUNITE,40.78,0.012,1.05,0.61
DUNITE,41.45,0.01,0.11,0.07
DUNITE,39.58,0.01,1.16,0.64
DUNITE,38.71,0.08,1.2,2.18
DUNITE,46.8,0.06,17.04,14.71
DUNITE,46.35,0.03,19.65,15.85
DUNITE,45.54,0.02,15.69,12.67
DUNITE,44.34,0.07,17.89,11.5
DUNITE,45.46,0.04,14.87,10.8
DUNITE,44.28,0.05,16.95,12.9
DUNITE,48.49,0.05,17.84,18.33
DUNITE,44.75,0.04,21.36,15.36
DUNITE,44.16,0.03,12.4,9.8
DUNITE,45.25,0.11,18.5,11.03
