,SIO2,CAO,AL2O3,MGO,1726
0,38.89,0.28,0.34,54.32496,DUNITE
1,45.9,3.4,3.76,45.4,LHERZOLITE
2,41.78,0.33,0.45,56.75,DUNITE
3,44.08,0.76,0.79,53.72971,HARZBURGITE
4,43.73,1.23,0.55,53.42,HARZBURGITE
5,42.15,1.78,0.885877419,53.90095871,LHERZOLITE
6,45.04,1.84,0.6,50.53564,LHERZOLITE
7,42.63,1.37,0.6,53.730090000000004,HARZBURGITE
8,42.89,0.43,0.61,55.43,HARZBURGITE
9,43.72,0.63,0.63,53.3,HARZBURGITE
10,39.6,0.44,1.05,44.43795,HARZBURGITE
11,45.82,0.45,0.67,52.72,HARZBURGITE
12,43.7,0.39,0.97,53.78,HARZBURGITE
13,39.1,0.54,1.19,44.47635,HARZBURGITE
14,45.2,0.41,0.7,53.18,HARZBURGITE
15,43.1,0.59,1.2,54.41,HARZBURGITE
16,43.2,0.61,0.74,54.10931,HARZBURGITE
17,43.5,1.13,0.75,53.0202,HARZBURGITE
18,40.66,2.22,0.76,55.07,DUNITE
19,42.24,1.83,1.11893685,53.55735215,LHERZOLITE
20,41.75,0.45,0.81,54.513830000000006,HARZBURGITE
21,43.45,1.08,0.81,52.74385,HARZBURGITE
22,42.13,1.57,1.17,53.47,LHERZOLITE
23,43.72,1.14,1.21,53.28,HARZBURGITE
24,43.65,1.19,1.24,52.403659999999995,LHERZOLITE
25,43.73,1.39,0.85,52.15,HARZBURGITE
26,44.07,1.63,0.85,52.28,LHERZOLITE
27,43.97,0.5,0.85,54.39,HARZBURGITE
28,41.57,2.34,0.86,51.61,HARZBURGITE
29,46.18,0.63,0.86,51.8,HARZBURGITE
30,44.26,0.76,1.22,53.53162,HARZBURGITE
31,45.01,0.51,1.34,53.045759999999994,HARZBURGITE
32,46.64,0.5,0.88,51.51,HARZBURGITE
33,45.36,0.7,1.4,51.83526,HARZBURGITE
34,46.36,0.55,0.89,51.88,HARZBURGITE
35,42.35,1.5,1.82,53.92,LHERZOLITE
36,41.03,1.03,0.9,48.69133,HARZBURGITE
37,41.4,5.2,0.9,49.6082,WEHRLITE
38,43.25,0.76,1.31,52.86628,HARZBURGITE
39,44.05,0.75,0.9,52.90719,HARZBURGITE
40,46.9,0.79,0.9,50.74,HARZBURGITE
41,43.86,1.19,1.28,53.05,HARZBURGITE
42,39.75,3.12,0.91,51.72436,LHERZOLITE
43,42.9,0.54,0.91,53.65,HARZBURGITE
44,42.59,2.07,0.94,53.57,LHERZOLITE
45,41.72,1.43,1.33,53.59861,LHERZOLITE
46,41.78,1.8,0.95,53.76495,LHERZOLITE
47,43.47,1.54,1.59,51.90292,LHERZOLITE
48,45.24,1.45,1.3719999999999999,50.86,LHERZOLITE
49,45.47,2.41,0.96,50.03011,LHERZOLITE
50,46.28,0.48,0.96,51.77,HARZBURGITE
51,44.16,1.61,0.97,52.31,LHERZOLITE
52,41.55,1.31,1.4,53.22469,LHERZOLITE
53,49.76,1.02,0.98,45.876459999999994,LHERZOLITE
54,43.8,1.02,1.0,54.138169999999995,HARZBURGITE
55,43.27,0.54,1.02,53.02,HARZBURGITE
56,43.13,1.0,1.02,53.47,HARZBURGITE
57,44.14,1.73,1.02,51.89,LHERZOLITE
58,43.58,0.97,1.34,53.67819,HARZBURGITE
59,43.55,1.61,1.56,51.09,LHERZOLITE
60,44.49,1.74,1.03,52.3,LHERZOLITE
61,44.15,2.08,1.04,51.51272,LHERZOLITE
62,42.34,1.22,1.05,53.2955,HARZBURGITE
63,45.63,1.05,1.05,51.6,HARZBURGITE
64,39.7,1.13,1.49,42.434509999999996,LHERZOLITE
65,44.5,0.48,1.57,52.44,HARZBURGITE
66,42.78,1.31,1.07,53.191,HARZBURGITE
67,43.24,1.04,1.07,54.11261999999999,HARZBURGITE
68,47.26,0.79,1.08,50.36,LHERZOLITE
69,45.09,2.92,1.77,49.77,LHERZOLITE
70,43.4,0.84,1.1,53.539280000000005,HARZBURGITE
71,47.36,0.82,1.11,49.7,LHERZOLITE
72,43.42,1.51,1.62,52.67416,LHERZOLITE
73,42.14,1.7,1.13,53.827298,LHERZOLITE
74,45.75,1.43,1.5,50.78,LHERZOLITE
75,40.78,2.91,1.13,54.91,LHERZOLITE
76,43.3,0.77,1.14,52.99918,HARZBURGITE
77,43.8,0.84,1.16,52.47635,HARZBURGITE
