,0,1,2,3,4,5
0,ROCK NAME,SIO2,TIO2,AL2O3,CR2O3,0.7056030389363723
1,ROCK NAME,SIO2,TIO2,AL2O3,FEOT,0.7226970560303896
2,ROCK NAME,SIO2,TIO2,AL2O3,CAO,0.7483380816714154
3,ROCK NAME,SIO2,TIO2,AL2O3,MGO,0.7547483380816719
4,ROCK NAME,SIO2,TIO2,AL2O3,MNO,0.7591642924976262
5,ROCK NAME,SIO2,TIO2,AL2O3,K2O,0.7505539727761951
6,ROCK NAME,SIO2,TIO2,AL2O3,NA2O,0.7562067562067561
7,ROCK NAME,SIO2,TIO2,AL2O3,P2O5,0.752136752136752
8,ROCK NAME,SIO2,TIO2,CR2O3,FEOT,0.7412683338609263
9,ROCK NAME,SIO2,TIO2,CR2O3,CAO,0.7455840455840452
10,ROCK NAME,SIO2,TIO2,CR2O3,MGO,0.7455754122420786
11,ROCK NAME,SIO2,TIO2,CR2O3,MNO,0.7350427350427347
12,ROCK NAME,SIO2,TIO2,CR2O3,K2O,0.7313901672876029
13,ROCK NAME,SIO2,TIO2,CR2O3,NA2O,0.7277167277167276
14,ROCK NAME,SIO2,TIO2,CR2O3,P2O5,0.7252295030072806
15,ROCK NAME,SIO2,TIO2,FEOT,CAO,0.7280982905982905
16,ROCK NAME,SIO2,TIO2,FEOT,MGO,0.731523378582202
17,ROCK NAME,SIO2,TIO2,FEOT,MNO,0.7292392107206919
18,ROCK NAME,SIO2,TIO2,FEOT,K2O,0.7254960763732691
19,ROCK NAME,SIO2,TIO2,FEOT,NA2O,0.7217473884140548
20,ROCK NAME,SIO2,TIO2,FEOT,P2O5,0.7197576086464973
21,ROCK NAME,SIO2,TIO2,CAO,MGO,0.7226970560303893
22,ROCK NAME,SIO2,TIO2,CAO,MNO,0.7252157397084932
23,ROCK NAME,SIO2,TIO2,CAO,K2O,0.7264957264957262
24,ROCK NAME,SIO2,TIO2,CAO,NA2O,0.7283570750237416
25,ROCK NAME,SIO2,TIO2,CAO,P2O5,0.7305866023814742
26,ROCK NAME,SIO2,TIO2,MGO,MNO,0.7304702613344587
27,ROCK NAME,SIO2,TIO2,MGO,K2O,0.7324311490978156
28,ROCK NAME,SIO2,TIO2,MGO,NA2O,0.7339293316304809
29,ROCK NAME,SIO2,TIO2,MGO,P2O5,0.7337765115542891
30,ROCK NAME,SIO2,TIO2,MNO,K2O,0.7311521612596878
31,ROCK NAME,SIO2,TIO2,MNO,NA2O,0.7295524691358023
32,ROCK NAME,SIO2,TIO2,MNO,P2O5,0.7273878384989494
33,ROCK NAME,SIO2,TIO2,K2O,NA2O,0.7254343332774703
34,ROCK NAME,SIO2,TIO2,K2O,P2O5,0.7225885225885224
35,ROCK NAME,SIO2,TIO2,NA2O,P2O5,0.7218529070380919
36,ROCK NAME,SIO2,AL2O3,CR2O3,FEOT,0.723980390647057
37,ROCK NAME,SIO2,AL2O3,CR2O3,CAO,0.7254211026140847
38,ROCK NAME,SIO2,AL2O3,CR2O3,MGO,0.7258626147515033
39,ROCK NAME,SIO2,AL2O3,CR2O3,MNO,0.7266381766381762
40,ROCK NAME,SIO2,AL2O3,CR2O3,K2O,0.7270979547402309
41,ROCK NAME,SIO2,AL2O3,CR2O3,NA2O,0.727875005652783
42,ROCK NAME,SIO2,AL2O3,CR2O3,P2O5,0.7287705117162476
43,ROCK NAME,SIO2,AL2O3,FEOT,CAO,0.7309634809634802
44,ROCK NAME,SIO2,AL2O3,FEOT,MGO,0.7315184129998938
45,ROCK NAME,SIO2,AL2O3,FEOT,MNO,0.7332879144473338
46,ROCK NAME,SIO2,AL2O3,FEOT,K2O,0.7338505990988251
47,ROCK NAME,SIO2,AL2O3,FEOT,NA2O,0.7343700538144972
48,ROCK NAME,SIO2,AL2O3,FEOT,P2O5,0.7355078783650201
49,ROCK NAME,SIO2,AL2O3,CAO,MGO,0.736011396011395
50,ROCK NAME,SIO2,AL2O3,CAO,MNO,0.7376869076215471
51,ROCK NAME,SIO2,AL2O3,CAO,K2O,0.738421360216231
52,ROCK NAME,SIO2,AL2O3,CAO,NA2O,0.7394685444999901
53,ROCK NAME,SIO2,AL2O3,CAO,P2O5,0.7394745172522941
54,ROCK NAME,SIO2,AL2O3,MGO,MNO,0.7401364068030725
55,ROCK NAME,SIO2,AL2O3,MGO,K2O,0.7396045312711969
56,ROCK NAME,SIO2,AL2O3,MGO,NA2O,0.7399410206427739
57,ROCK NAME,SIO2,AL2O3,MGO,P2O5,0.740003929659101
58,ROCK NAME,SIO2,AL2O3,MNO,K2O,0.7397105928179362
59,ROCK NAME,SIO2,AL2O3,MNO,NA2O,0.7400601456156998
60,ROCK NAME,SIO2,AL2O3,MNO,P2O5,0.7404293743091542
61,ROCK NAME,SIO2,AL2O3,K2O,NA2O,0.7407560579603576
62,ROCK NAME,SIO2,AL2O3,K2O,P2O5,0.7407256666515913
63,ROCK NAME,SIO2,AL2O3,NA2O,P2O5,0.7407259021842343
64,ROCK NAME,SIO2,CR2O3,FEOT,CAO,0.7415150851048276
65,ROCK NAME,SIO2,CR2O3,FEOT,MGO,0.7419494086160743
66,ROCK NAME,SIO2,CR2O3,FEOT,MNO,0.7402162974302268
67,ROCK NAME,SIO2,CR2O3,FEOT,K2O,0.7386458857047082
68,ROCK NAME,SIO2,CR2O3,FEOT,NA2O,0.7385523762335348
69,ROCK NAME,SIO2,CR2O3,FEOT,P2O5,0.7369420702754026
70,ROCK NAME,SIO2,CR2O3,CAO,MGO,0.7375038454850652
71,ROCK NAME,SIO2,CR2O3,CAO,MNO,0.7378257887517137
72,ROCK NAME,SIO2,CR2O3,CAO,K2O,0.7387113140537789
73,ROCK NAME,SIO2,CR2O3,CAO,NA2O,0.7393932393932385
74,ROCK NAME,SIO2,CR2O3,CAO,P2O5,0.7396517885406766
75,ROCK NAME,SIO2,CR2O3,MGO,MNO,0.7393162393162386
76,ROCK NAME,SIO2,CR2O3,MGO,K2O,0.7390140723474049
77,ROCK NAME,SIO2,CR2O3,MGO,NA2O,0.7387440037012679
78,ROCK NAME,SIO2,CR2O3,MGO,P2O5,0.7388774688352739
79,ROCK NAME,SIO2,CR2O3,MNO,K2O,0.7373100664767323
80,ROCK NAME,SIO2,CR2O3,MNO,NA2O,0.7365199957792542
81,ROCK NAME,SIO2,CR2O3,MNO,P2O5,0.7349269219187912
82,ROCK NAME,SIO2,CR2O3,K2O,NA2O,0.7339099989702396
83,ROCK NAME,SIO2,CR2O3,K2O,P2O5,0.7323180934292041
84,ROCK NAME,SIO2,CR2O3,NA2O,P2O5,0.7315680688229703
85,ROCK NAME,SIO2,FEOT,CAO,MGO,0.7323041586607474
86,ROCK NAME,SIO2,FEOT,CAO,MNO,0.733132484090338
87,ROCK NAME,SIO2,FEOT,CAO,K2O,0.733736942070275
88,ROCK NAME,SIO2,FEOT,CAO,NA2O,0.7344025096834081
89,ROCK NAME,SIO2,FEOT,CAO,P2O5,0.7348739052442751
90,ROCK NAME,SIO2,FEOT,MGO,MNO,0.7354079918182477
91,ROCK NAME,SIO2,FEOT,MGO,K2O,0.7364465915190546
92,ROCK NAME,SIO2,FEOT,MGO,NA2O,0.7370033391538761
93,ROCK NAME,SIO2,FEOT,MGO,P2O5,0.7373663898486587
94,ROCK NAME,SIO2,FEOT,MNO,K2O,0.7366621682411151
