Material,SiO2,TiO2,Al2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O3,V2O5,ZnO,Fe,Ni,Co,S
GL,50.21,1.64,15.57,,,,10.31,,,6.95,10.66,,3.22,0.19,0.16,,,,,,,,,,,,,,
GL,50.73,1.63,16.58,,,,8.96,,,7.59,11.98,,2.7,0.27,0.17,,,,,,,,,,,,,,
GL,49.98,1.58,15.61,,,,10.84,,,7.38,10.7,,3.03,0.04,0.14,,,,,,,,,,,,,,
GL,51.53,1.6,15.68,,,,10.77,,,7.29,10.34,,2.99,0.06,0.16,,,,,,,,,,,11.37,130.7,48.21,
GL,49.51,1.62,15.86,,,,10.81,,,7.46,10.62,,2.96,0.07,0.15,,,,,,,,,,,,,,
GL,51.31,1.39,14.99,,,,9.27,,,6.78,11.64,,2.74,0.2,0.1,,,,,,,,,,,,,,
GL,51.97,1.25,14.28,,,,11.57,,,7.02,11.67,,2.12,0.07,0.09,,,,,,,,,,,,,,
GL,50.21,1.46,16.41,,,,10.39,,,7.46,11.27,,2.94,0.07,0.15,,,,,,,,,,,,,,
GL,50.08,1.93,15.6,,,,11.62,,,7.66,10.69,,2.92,0.34,0.23,,,,,,,,,,,,,,
GL,51.04,1.35,16.4,,,,9.69,,,7.29,10.82,,2.65,0.13,0.11,,,,,,,,,,,,,,
GL,52.29,0.74,15.06,,,,8.97,,,8.14,13.19,,1.81,0.04,0.07,,,,,,,,,,,,,,
WR,48.66,1.68,15.02,2.32,11.59,9.5,,,0.2,8.95,10.48,,2.43,0.17,0.15,,,0.17,,,,,,,,,164,47,
WR,50.38,1.55,14.52,,11.19,,,,0.18,7.63,11.56,,2.72,0.08,0.14,,,,,,,,,,,,81,,
WR,49.68,0.95,14.36,1.47,10.52,8.82,,,0.19,9.34,11.84,,1.83,0.22,0.08,,,0.4,,,,,,,,,150,50,
WR,47.48,0.9,17.75,2,10.66,8.8,,,0.18,9.74,11,,2.7,0.18,0.05,,,0.43,,,,,,,,,203,49,
WR,49.21,1.57,15.2,3.2,10.8,7.44,,,0.19,8.27,10.82,,3.27,0.29,0.15,,,0.88,,,,,,,,,115,42,
WR,49.82,0.8,14.98,3.1,10.41,7.8,,,0.17,8.82,12.7,,1.82,0.13,0.1,,,0.84,,,,,,,,,97,,
WR,50.17,1.05,14.68,2.46,11.29,8.54,,,0.18,7.9,12,,2.29,0.17,0.08,,,0.66,,,,,,,,,71,163,
WR,49.57,0.73,16.64,1.45,8.81,7,,,0.15,8.53,12.9,,1.94,0.09,0.07,,,0.47,,,,,,,,,122,,
WR,48.61,0.89,15.58,1,10.52,9.88,,,0.17,9.96,11.94,,2.18,0.07,0.08,,,0.36,,,,,,,,,212,,
GL,51.23,1.06,15.76,,,,8.61,,,8.05,12.21,,2.24,0.12,0.11,,,,,,,,,,,,,,
GL,49.18,1.69,13.95,,,,12.11,,,7.26,12.33,,2,0.15,0.08,,,,,,,,,,,,,,
GL,50.82,1.59,14.21,,,,12.85,,,6.61,11.25,,2.16,0.16,0.15,,,,,,,,,,,,,,
GL,49.85,1.54,14.07,,,,12.24,,,6.95,11.31,,2.17,0.15,0.14,,,,,,,,,,,,,,
GL,50.87,1.52,14.38,,,,12.38,,,6.69,11.28,,2.11,0.17,0.15,,,,,,,,,,,,,,
GL,50.31,1.52,14.13,,,,12.23,,,7.26,11.25,,2.14,0.16,0.18,,,,,,,,,,,,,,
GL,50.38,1.54,14.46,,,,12.22,,,6.91,11.29,,2.1,0.17,0.18,,,,,,,,,,,,,,
