,0,1,2,3,4,5,6,7,8,9,10,11
0,ROCK NAME,SIO2,TIO2,AL2O3,0.7160493827160495,,,,,,,
1,ROCK NAME,SIO2,TIO2,CR2O3,0.6813865147198479,,,,,,,
2,ROCK NAME,SIO2,TIO2,FEOT,0.6729977841088952,,,,,,,
3,ROCK NAME,SIO2,TIO2,CAO,0.7006172839506175,,,,,,,
4,ROCK NAME,SIO2,TIO2,MGO,0.7002849002849005,,,,,,,
5,ROCK NAME,SIO2,TIO2,MNO,0.6902500791389683,,,,,,,
6,ROCK NAME,SIO2,TIO2,K2O,0.6790123456790126,,,,,,,
7,ROCK NAME,SIO2,TIO2,NA2O,0.6788936372269707,,,,,,,
8,ROCK NAME,SIO2,TIO2,P2O5,0.6780626780626782,,,,,,,
9,ROCK NAME,SIO2,AL2O3,CR2O3,0.685375118708452,,,,,,,
10,ROCK NAME,SIO2,AL2O3,FEOT,0.6917896917896916,,,,,,,
11,ROCK NAME,SIO2,AL2O3,CAO,0.6989553656220322,,,,,,,
12,ROCK NAME,SIO2,AL2O3,MGO,0.7015852144057271,,,,,,,
13,ROCK NAME,SIO2,AL2O3,MNO,0.7060100393433727,,,,,,,
14,ROCK NAME,SIO2,AL2O3,K2O,0.7064260842038619,,,,,,,
15,ROCK NAME,SIO2,AL2O3,NA2O,0.7101139601139599,,,,,,,
16,ROCK NAME,SIO2,AL2O3,P2O5,0.7115244958382211,,,,,,,
17,ROCK NAME,SIO2,CR2O3,FEOT,0.7092961907776718,,,,,,,
18,ROCK NAME,SIO2,CR2O3,CAO,0.7114509921527461,,,,,,,
19,ROCK NAME,SIO2,CR2O3,MGO,0.7124406457739787,,,,,,,
20,ROCK NAME,SIO2,CR2O3,MNO,0.7056030389363719,,,,,,,
21,ROCK NAME,SIO2,CR2O3,K2O,0.6989121989121987,,,,,,,
22,ROCK NAME,SIO2,CR2O3,NA2O,0.6976753788347988,,,,,,,
23,ROCK NAME,SIO2,CR2O3,P2O5,0.6914371636593856,,,,,,,
24,ROCK NAME,SIO2,FEOT,CAO,0.6961823361823359,,,,,,,
25,ROCK NAME,SIO2,FEOT,MGO,0.699758930528161,,,,,,,
26,ROCK NAME,SIO2,FEOT,MNO,0.695438078154127,,,,,,,
27,ROCK NAME,SIO2,FEOT,K2O,0.6916632749966077,,,,,,,
28,ROCK NAME,SIO2,FEOT,NA2O,0.6921112093525881,,,,,,,
29,ROCK NAME,SIO2,FEOT,P2O5,0.6900918012029117,,,,,,,
30,ROCK NAME,SIO2,CAO,MGO,0.6932879943632623,,,,,,,
31,ROCK NAME,SIO2,CAO,MNO,0.6951270180436838,,,,,,,
32,ROCK NAME,SIO2,CAO,K2O,0.6967394745172514,,,,,,,
33,ROCK NAME,SIO2,CAO,NA2O,0.7001564158426894,,,,,,,
34,ROCK NAME,SIO2,CAO,P2O5,0.7022113688780345,,,,,,,
35,ROCK NAME,SIO2,MGO,MNO,0.7035454257676468,,,,,,,
36,ROCK NAME,SIO2,MGO,K2O,0.7044737044737032,,,,,,,
37,ROCK NAME,SIO2,MGO,NA2O,0.7057529864547395,,,,,,,
38,ROCK NAME,SIO2,MGO,P2O5,0.7056517398397727,,,,,,,
39,ROCK NAME,SIO2,MNO,K2O,0.7023029439696094,,,,,,,
40,ROCK NAME,SIO2,MNO,NA2O,0.7013874412248382,,,,,,,
41,ROCK NAME,SIO2,MNO,P2O5,0.6989779767557531,,,,,,,
42,ROCK NAME,SIO2,K2O,NA2O,0.697188542149781,,,,,,,
43,ROCK NAME,SIO2,K2O,P2O5,0.6944876111542765,,,,,,,
44,ROCK NAME,SIO2,NA2O,P2O5,0.6937849530442111,,,,,,,
45,ROCK NAME,TIO2,AL2O3,CR2O3,0.6943102522812655,,,,,,,
46,ROCK NAME,TIO2,AL2O3,FEOT,0.695156695156694,,,,,,,
47,ROCK NAME,TIO2,AL2O3,CAO,0.6964624881291536,,,,,,,
