ROCK NAME,SIO2,MGO,CAO,MNO
DUNITE,39.72,47.05,0.37,0.18
DUNITE,41.87,34.65,5.42,0.18
DUNITE,41.2,49.7,0.26,0.11
DUNITE,42.1,50.4,0.02,0.1
DUNITE,41.6,50.0,0.09,0.09
DUNITE,37.9,37.78,0.05,0.15
DUNITE,45.2,34.4,3.72,0.18
DUNITE,41.4,46.7,0.14,0.18
DUNITE,41.5,46.3,0.48,0.18
DUNITE,41.8,47.2,0.1,0.16
DUNITE,42.0,47.8,1.56,0.13
DUNITE,42.0,47.6,0.04,0.08
DUNITE,42.6,45.7,0.05,0.08
DUNITE,41.1,48.0,0.02,0.1
DUNITE,40.5,48.5,0.12,0.12
DUNITE,40.1,50.4,0.09,0.12
DUNITE,41.77,37.2,5.21,0.14
DUNITE,45.77,17.7,13.26,0.08
DUNITE,42.55,29.3,8.14,0.12
DUNITE,46.05,16.6,13.97,0.07
DUNITE,40.76,42.68,1.18,0.13
DUNITE,38.5,39.13,1.29,0.14
DUNITE,40.06,38.15,0.25,0.1
DUNITE,36.59,39.89,0.89,0.2
DUNITE,34.04,40.5,0.28,0.1
DUNITE,39.69,44.39,0.06,0.19
DUNITE,39.18,39.22,0.55,0.16
DUNITE,39.53,38.87,1.86,0.2
DUNITE,37.56,39.09,0.67,0.19
DUNITE,40.12,38.39,1.09,0.2
DUNITE,37.43,38.37,0.85,0.2
DUNITE,39.94,37.68,1.58,0.2
DUNITE,46.3,46.09,0.03,0.11
DUNITE,39.56,44.82,0.07,0.1
DUNITE,36.65,38.46,0.14,0.17
DUNITE,41.7,34.2,5.94,0.18
DUNITE,42.85,31.5,6.28,0.17
DUNITE,36.3,45.7,1.2,0.09
DUNITE,34.32,41.8,0.38,0.19
DUNITE,38.98,42.89,1.17,0.07
DUNITE,40.4,47.82,0.36,0.14
DUNITE,39.69,45.33,0.58,0.22
DUNITE,38.2,29.77,2.31,0.17
DUNITE,38.85,26.66,5.45,0.18
DUNITE,38.29,27.46,3.67,0.2
DUNITE,38.0,26.62,3.95,0.18
DUNITE,39.69,26.48,5.82,0.17
DUNITE,36.81,38.65,0.34,0.11
DUNITE,38.66,35.69,0.8,0.13
DUNITE,38.29,36.31,0.67,0.14
DUNITE,37.01,39.41,1.13,0.12
DUNITE,36.79,39.1,1.86,0.13
DUNITE,34.57,39.64,0.15,0.12
DUNITE,35.86,38.42,0.02,0.08
DUNITE,39.33,36.55,0.01,0.09
DUNITE,39.62,33.84,0.02,0.11
DUNITE,37.65,29.18,6.36,0.18
DUNITE,33.11,24.37,5.72,0.31
DUNITE,41.88,35.41,4.67,0.18
DUNITE,34.08,39.82,0.01,0.135
DUNITE,37.62,38.97,0.02,0.122
DUNITE,38.96,37.35,0.21,0.11
DUNITE,36.0,37.08,0.47,0.196
DUNITE,39.84,36.7,0.7,0.145
DUNITE,38.99,35.78,0.41,0.155
DUNITE,36.64,37.29,0.02,0.256
DUNITE,39.37,34.14,2.59,0.148
DUNITE,36.75,37.0,0.04,0.113
DUNITE,35.8,38.95,0.02,0.132
DUNITE,29.99,36.96,0.03,0.104
DUNITE,37.58,35.57,0.67,0.16
DUNITE,37.11,39.66,0.03,0.101
DUNITE,36.56,37.52,0.56,0.186
DUNITE,34.02,39.26,0.05,0.151
DUNITE,37.84,37.48,0.02,0.163
DUNITE,39.26,36.75,1.29,0.181
DUNITE,38.78,34.91,0.02,0.146
DUNITE,36.81,39.1,0.02,0.156
DUNITE,34.31,34.54,0.05,0.111
DUNITE,37.03,37.52,0.06,0.149
DUNITE,35.79,38.2,0.04,0.159
DUNITE,33.9,33.9,1.89,0.22
DUNITE,41.21,46.46,1.46,0.17
DUNITE,40.78,45.78,1.31,0.19
DUNITE,39.09,44.44,1.07,0.17
DUNITE,40.7,45.79,1.07,0.17
DUNITE,41.07,41.37,0.1,0.25
DUNITE,39.26,30.09,7.33,0.17
DUNITE,40.74,48.3,0.51,0.15
DUNITE,40.84,48.43,0.48,0.15
DUNITE,41.53,47.98,0.28,0.16
DUNITE,40.78,49.14,0.3,0.15
DUNITE,41.05,49.05,0.33,0.15
DUNITE,40.78,47.49,0.61,0.132
DUNITE,41.45,49.59,0.07,0.1
DUNITE,39.58,47.37,0.64,0.17
DUNITE,38.71,45.58,2.18,0.18
DUNITE,46.8,15.9,14.71,0.09
DUNITE,46.35,12.97,15.85,0.07
DUNITE,45.54,20.36,12.67,0.09
DUNITE,44.34,19.65,11.5,0.1
DUNITE,45.46,23.34,10.8,0.1
DUNITE,44.28,18.74,12.9,0.08
DUNITE,48.49,13.12,18.33,0.06
DUNITE,44.75,12.72,15.36,0.06
DUNITE,44.16,27.44,9.8,0.11
DUNITE,45.25,18.01,11.03,0.12
DUNITE,46.59,17.12,13.25,0.11
DUNITE,43.82,12.82,15.24,0.08
DUNITE,45.45,11.2,17.26,0.06
DUNITE,40.52,49.0,0.2,0.21
DUNITE,39.67,48.71,0.21,0.11
DUNITE,39.99,47.8,0.64,0.1
DUNITE,42.47,45.88,0.64,0.1
DUNITE,43.4,45.49,0.8,0.12
DUNITE,38.7,41.53,1.21,0.19
DUNITE,37.37,44.03,0.38,0.18
DUNITE,41.35,47.9,0.27,0.13
DUNITE,39.33,44.9,0.18,0.19
DUNITE,38.78,43.46,0.05,0.19
DUNITE,36.5,29.2,2.62,0.24
DUNITE,41.55,39.1,3.26,0.18
DUNITE,39.92,46.06,0.07,0.16
DUNITE,39.44,45.22,0.08,0.18
DUNITE,40.31,45.07,0.64,0.17
DUNITE,36.6,28.3,2.41,0.25
DUNITE,35.5,41.6,0.35,0.1
DUNITE,35.5,41.6,0.25,0.09
DUNITE,35.1,42.8,0.7,0.1
DUNITE,38.8,38.8,0.5,0.1
DUNITE,38.8,43.5,0.333,0.219
DUNITE,38.4,43.1,0.88,0.17
DUNITE,37.9,45.4,0.11,0.13
DUNITE,36.5,43.2,0.32,0.16
DUNITE,37.4,43.0,0.08,0.14
DUNITE,38.8,46.4,0.12,0.14
DUNITE,37.9,43.9,0.13,0.16
DUNITE,37.8,44.1,0.11,0.15
DUNITE,37.5,38.7,1.29,0.2
DUNITE,39.1,43.9,0.03,0.17
DUNITE,39.7,47.8,0.51,0.2
DUNITE,39.1,47.9,0.54,0.17
DUNITE,39.3,48.0,0.35,0.17
DUNITE,39.1,45.7,0.5,0.12
DUNITE,25.2,29.3,0.1,0.1
DUNITE,33.8,41.6,0.2,0.09
DUNITE,32.9,35.8,0.04,0.09
DUNITE,31.0,39.8,0.16,0.08
DUNITE,31.5,37.1,0.12,0.13
DUNITE,36.9,44.7,0.21,0.1
DUNITE,37.8,47.1,0.27,0.08
DUNITE,34.2,41.9,0.09,0.08
DUNITE,35.5,44.0,0.34,0.13
DUNITE,35.7,43.2,0.28,0.17
DUNITE,9.8,19.2,0.63,0.11
DUNITE,35.7,42.6,0.45,0.14
DUNITE,33.4,38.1,0.63,0.13
DUNITE,14.5,24.3,0.07,0.09
DUNITE,37.0,47.2,0.15,0.11
DUNITE,35.2,42.4,0.04,0.13
DUNITE,37.6,45.0,0.14,0.16
DUNITE,33.0,38.0,1.2,0.12
DUNITE,48.8,21.5,17.7,0.11
DUNITE,38.1,45.4,0.5,0.15
DUNITE,38.1,45.1,0.43,0.15
DUNITE,38.3,46.1,0.42,0.15
DUNITE,44.7,34.8,9.41,0.13
DUNITE,39.5,41.4,2.9,0.16
DUNITE,48.1,23.6,16.7,0.13
DUNITE,33.8,40.6,0.03,0.12
DUNITE,39.7,45.8,0.74,0.18
DUNITE,34.9,40.9,0.3,0.18
DUNITE,29.7,35.9,0.16,0.15
DUNITE,34.3,40.2,0.99,0.14
DUNITE,31.9,39.3,0.12,0.13
DUNITE,40.2,40.2,4.42,0.14
DUNITE,36.1,40.4,1.69,0.15
DUNITE,42.6,8.48,16.6,0.1
DUNITE,50.2,20.4,20.1,0.09
DUNITE,48.1,20.3,18.2,0.13
DUNITE,37.8,43.7,0.42,0.21
DUNITE,51.1,16.9,23.0,0.1
DUNITE,48.0,7.97,8.88,0.17
DUNITE,33.8,5.97,25.0,0.4
DUNITE,48.5,3.38,8.7,0.31
DUNITE,40.0,6.66,23.0,0.22
DUNITE,5.33,0.73,51.4,0.15
DUNITE,51.4,2.36,9.04,0.09
DUNITE,37.6,41.5,1.23,0.18
DUNITE,35.2,40.7,0.13,0.1
DUNITE,35.3,40.6,0.12,0.13
DUNITE,35.6,41.9,0.13,0.12
DUNITE,37.6,41.5,0.14,0.11
DUNITE,35.6,41.4,0.09,0.13
DUNITE,36.3,44.4,0.21,0.13
DUNITE,31.9,39.3,0.12,0.15
DUNITE,34.1,40.9,0.32,0.16
DUNITE,35.1,40.6,0.24,0.14
DUNITE,40.5,44.4,1.4,0.16
DUNITE,38.8,43.8,0.7,0.16
DUNITE,37.1,42.6,0.67,0.11
DUNITE,36.6,42.9,0.26,0.11
DUNITE,48.9,17.3,19.2,0.11
DUNITE,37.4,43.7,0.22,0.11
DUNITE,38.1,40.8,0.45,0.16
DUNITE,37.1,43.4,0.29,0.11
DUNITE,37.8,37.6,1.6,0.22
DUNITE,37.8,44.4,0.35,0.11
DUNITE,37.7,42.7,0.26,0.19
DUNITE,37.8,43.9,0.26,0.11
DUNITE,38.1,44.0,0.29,0.11
DUNITE,39.4,34.0,3.6,0.22
DUNITE,37.8,42.1,0.83,0.11
DUNITE,43.7,9.1,11.8,0.16
DUNITE,51.4,20.2,20.2,0.08
DUNITE,37.4,36.8,0.12,0.11
DUNITE,35.1,39.6,0.93,0.11
DUNITE,37.1,42.9,0.19,0.23
DUNITE,37.7,43.0,0.09,0.31
DUNITE,37.1,42.8,0.12,0.26
DUNITE,36.6,43.4,0.09,0.23
DUNITE,37.1,42.9,0.32,0.26
DUNITE,36.6,42.4,0.12,0.23
DUNITE,39.0,36.8,2.6,0.26
DUNITE,37.7,41.6,0.06,0.18
DUNITE,37.7,41.2,0.51,0.23
DUNITE,36.1,40.5,0.32,0.26
DUNITE,37.4,42.8,0.38,0.26
DUNITE,36.6,42.3,0.06,0.23
DUNITE,36.7,43.2,0.34,0.21
DUNITE,35.9,38.3,0.31,0.21
DUNITE,38.1,43.1,0.43,0.21
DUNITE,37.0,41.3,0.71,0.21
DUNITE,37.4,43.5,0.34,0.18
DUNITE,40.0,32.5,1.3,0.18
DUNITE,39.9,47.3,0.17,0.13
DUNITE,39.8,49.1,0.08,0.11
DUNITE,39.9,48.5,0.18,0.12
DUNITE,38.7,46.3,0.25,0.11
DUNITE,39.3,44.8,1.5,0.15
DUNITE,36.7,47.3,0.09,0.1
DUNITE,39.6,47.4,0.3,0.14
DUNITE,37.9,44.4,0.21,0.09
DUNITE,39.3,45.1,0.45,0.09
DUNITE,39.4,44.7,0.21,0.06
DUNITE,41.4,43.5,1.0,0.07
DUNITE,32.2,40.1,0.34,0.15
DUNITE,33.1,41.4,0.13,0.12
DUNITE,38.6,45.1,0.26,0.04
DUNITE,43.4,43.4,0.73,0.07
DUNITE,52.3,20.9,15.8,0.13
DUNITE,40.1,43.2,1.2,0.17
DUNITE,44.1,46.4,0.69,0.15
DUNITE,34.1,38.4,1.4,0.14
DUNITE,41.6,34.8,0.61,0.14
DUNITE,43.1,42.9,1.2,0.1
DUNITE,39.2,41.1,0.7,0.11
DUNITE,39.6,41.9,1.5,0.22
DUNITE,35.2,40.8,0.6,0.18
DUNITE,35.7,42.5,0.8,0.18
DUNITE,36.1,42.6,0.7,0.18
DUNITE,35.8,43.3,0.15,0.14
DUNITE,35.0,41.7,0.15,0.14
DUNITE,35.1,41.5,0.2,0.19
DUNITE,37.7,43.5,0.15,0.16
DUNITE,37.6,46.2,0.88,0.17
DUNITE,35.8,42.6,1.0,0.16
DUNITE,35.7,42.7,0.2,0.16
DUNITE,35.2,42.7,0.15,0.15
DUNITE,37.4,45.5,1.9,0.17
DUNITE,35.2,42.4,0.63,0.18
DUNITE,37.1,45.0,0.32,0.13
DUNITE,36.6,43.5,0.45,0.12
DUNITE,36.6,44.8,0.24,0.11
DUNITE,36.7,43.5,0.24,0.16
DUNITE,35.9,43.5,0.26,0.13
DUNITE,37.3,43.9,0.3,0.15
DUNITE,36.2,45.6,0.24,0.14
DUNITE,39.0,42.0,2.1,0.15
DUNITE,36.9,45.6,0.27,0.11
DUNITE,36.6,45.6,0.19,0.13
DUNITE,37.5,42.9,0.2,0.13
DUNITE,35.5,40.8,0.26,0.12
DUNITE,36.3,40.8,0.14,0.11
DUNITE,36.6,43.2,0.19,0.13
DUNITE,37.8,38.4,2.1,0.15
DUNITE,36.7,43.5,0.14,0.12
DUNITE,38.0,41.7,2.1,0.09
DUNITE,36.7,44.1,0.2,0.12
DUNITE,36.4,45.6,0.24,0.14
DUNITE,36.7,44.4,0.02,0.12
DUNITE,35.2,43.5,0.44,0.11
DUNITE,36.4,43.5,0.48,0.13
DUNITE,35.3,42.6,0.6,0.13
DUNITE,33.1,38.2,0.3,0.16
DUNITE,39.9,44.2,0.75,0.14
DUNITE,43.2,46.4,0.52,0.12
DUNITE,40.8,46.9,0.58,0.15
DUNITE,40.3,46.0,0.31,0.16
DUNITE,39.5,40.1,0.06,0.18
DUNITE,40.2,46.0,0.14,0.147
DUNITE,48.5,4.7,23.0,0.13
DUNITE,40.6,49.2,0.19,0.06
DUNITE,41.6,42.2,2.8,0.08
DUNITE,39.2,45.1,0.16,0.151
DUNITE,41.1,49.1,0.2,0.11
DUNITE,35.2,44.2,0.19,0.354
DUNITE,43.1,45.4,0.28,0.14
DUNITE,35.2,41.7,0.2,0.133
DUNITE,37.4,40.1,0.81,0.138
DUNITE,38.5,43.4,0.01,0.117
DUNITE,38.11,45.02,0.26,0.122
DUNITE,40.4,33.2,6.0,0.2
DUNITE,42.7,29.0,5.24,0.19
DUNITE,42.5,36.0,0.19,0.17
DUNITE,35.6,28.1,3.88,0.31
DUNITE,36.3,34.7,0.2,0.26
DUNITE,41.7,33.1,6.42,0.2
DUNITE,38.2,46.1,0.12,0.13
DUNITE,45.7,9.9,15.7,0.13
DUNITE,40.4,43.6,0.44,0.12
DUNITE,38.4,46.8,0.12,0.14
DUNITE,37.6,41.8,0.22,0.16
DUNITE,37.7,45.6,0.04,0.13
DUNITE,38.9,46.9,0.12,0.14
DUNITE,40.1,45.7,1.1,0.17
DUNITE,39.6,44.3,1.28,0.18
DUNITE,40.1,46.8,0.26,0.14
DUNITE,35.6,43.2,0.23,0.17
DUNITE,38.5,43.2,1.75,0.19
DUNITE,35.9,44.3,0.2,0.14
DUNITE,36.4,41.5,1.03,0.18
