Rock Type,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,CaO
"ECLOGITE",40.63,0.08,23.21,,11.19,0.41,9
"ECLOGITE",41.03,0.07,23.21,,11.28,0.43,9.12
"ECLOGITE",,,,5.05,26.22,,
"ECLOGITE",0.01,54.22,0.46,,30.76,0.39,0.04
"ECLOGITE",55.72,0.06,0.7,,8.8,0.09,0.28
"ECLOGITE",57.15,0.1,0.7,,8.25,0.1,0.3
"ECLOGITE",40.73,0.13,23.64,,12.82,0.39,3.84
"ECLOGITE",57.77,0.07,0.72,,7.57,0.11,0.28
"ECLOGITE",54.25,0.11,1.55,,2.33,0.06,22.68
"ECLOGITE",,,,9.48,31.96,,
"ECLOGITE",,48.97,0.28,,40.49,0.37,
"ECLOGITE",53.68,0.46,10.41,,3.4,0.03,15.6
"ECLOGITE",40.83,0.06,23.19,,12.84,0.41,6.2
"ECLOGITE",56.12,0.06,0.58,,12.06,0.2,0.33
"ECLOGITE",54.2,0.1,1.66,,4.21,0.11,21.56
"ECLOGITE",40.16,0.07,22.12,,16.48,0.68,4.91
"ECLOGITE",0.04,96.74,0.25,,1.92,,0.13
"ECLOGITE",54.21,0.28,3.39,,2.65,0.07,20.91
"ECLOGITE",,,,3.65,25.39,,
"ECLOGITE",0.01,55.81,0.35,,28.67,0.4,0.02
"ECLOGITE",39.88,0.09,22.66,,11.03,0.2,19.56
"ECLOGITE",37.06,0.01,62.1,,0.14,0.02,0.07
"ECLOGITE",54.7,0.14,1.54,,1.86,,23.07
"ECLOGITE",42.12,0.12,24.52,,7.84,0.39,4.14
"ECLOGITE",54.32,0.28,3.23,,1.59,0.03,21.37
"ECLOGITE",56.8,0.04,0.72,,9.33,0.07,0.32
"ECLOGITE",41.39,0.08,23.45,,13.23,0.33,3.71
"ECLOGITE",55.12,0.24,5.3,,3.36,0.05,17.81
"ECLOGITE",39.13,0.11,22.71,,14.95,0.28,13.08
"ECLOGITE",39.56,0.25,22.59,,14.76,0.27,12.72
"ECLOGITE",41.26,0.1,23.7,,8.85,0.36,4.47
"ECLOGITE",0.01,94.83,0.08,,3.02,0.01,0.05
"ECLOGITE",54.83,0.31,5.26,,3.3,0.02,18.32
"ECLOGITE",,,,3.83,27.68,,
"ECLOGITE",,55.54,0.28,,31.13,0.35,0.03
"ECLOGITE",53.52,0.28,14.55,,2.77,0.02,14.28
"ECLOGITE",36.63,0.01,62.67,,0.2,,
"ECLOGITE",0.01,96.44,2.39,,0.78,,0.1
"ECLOGITE",36.48,0.03,62.22,,0.17,0.01,
"ECLOGITE",53.99,0.22,12.08,,1.99,,16.16
"ECLOGITE",,97.64,0.85,,0.57,0.04,
"ECLOGITE",53.57,0.23,13.27,,2.38,0.02,14.52
"ECLOGITE",36.3,,62.65,,0.13,,
"ECLOGITE",57.4,0.04,0.79,,8.97,0.08,0.31
"PERIDOTITE",54.3,0.2,1.7,,2.5,0.06,20.8
"PERIDOTITE",54.1,0.28,0.6,,2.2,0.05,23.4
"ECLOGITE",38.1,4.6,14.8,,14.4,,
"ECLOGITE",42.2,0.81,12.8,,13.6,,11.6
"ECLOGITE",38.2,,21.3,,24.9,0.27,9.7
"ECLOGITE",30.4,32.6,3.8,,1.2,,29.3
"ECLOGITE",38.6,,21.9,,25.4,0.23,8
"ECLOGITE",52.2,0.32,6.7,,10.1,,17.2
